Abyssoninoe abyssorum
Aglaophamus foliosus
Aglaophamus macroura
Aglaophamus peruana
Aglaophamus posterobranchus
Aglaophamus trissophyllus
Alciopina paumotanus
Alomasoma belyaevi
Alomasoma chaetiferum
Ampharete elongata
Amphitrite kerguelensis
Amphitrite marchilensis
Amphitritides pectinobranchiata
Anchinothria pycnobranchiata
Ancistrosyllis groenlandica
Anguillosyllis palpata
Anobothrus antarctica
Anobothrus glandularis
Anoplosyllis sexoculata
Antonbruunia gerdesi
Aphelochaeta marioni
Aphelochaeta monilaris
Aphelochaeta multifilis
Aphrodita bisetosa
Aphrodita magellanica
Arabella protomutans
Archinome rosacea
Aricidea pigmentata
Aricidea uschakowi
Artacama valparaisiensis
Asychis amphiglyptus
Augeneria tentaculata
Australonuphis violacea
Austrobdella coliumicus
Austrolaenilla antarctica
Austrolaenilla hastulifera
Autolytus simplex
Boccardia polybranchia
Boccardia tricuspa
Branchamphinome antarctica
Branchipolynoe symmytilida
Califia chilensis
Capitella capitata
Carazziella carrascoi
Caulleriella alata
Ceratocephale loveni
Chaetopterus variopedatus
Chaetozone setosa
Cirratulus cirratus
Cirratulus patagonicus
Cirrophorus longifurcatus
Cistenides ehlersi
Cossura abyssalis
Cossura alba
Cossura chilensis
Dipolydora armata
Dipolydora giardi
Dipolydora huelma
Dipolydora magellanica
Dipolydora socialis
Drieschia nans
Drilonereis viborita
Eranno bifrons
Erinaceusyllis carrascoi
Erinaceusyllis subterranea
Eteone sculpta
Eulagisca gigantea
Eunereis patagonica
Eunice frauenfeldi
Eunice pennata
Euphrosine armadilloides
Euphrosine notialis
Euphrosinella cirratoformis
Euphrosinopsis antarctica
Eusyllis nuchalata
Exogone heterosetosa
Exogone homosetosa
Exogone yagan
Fauveliopsis challengeriae
Flabelligella papillata
Flabelligera induta
Flota flabelligera
Genetyllis polyphylla
Glycera americana
Glycera capitata
Glycinde armata
Goniada uncinigera
Grania hinojosai
Gymnonereis fauveli
Halosydna patagonica
Harmothoe campoglacialis
Harmothoe ciliata
Harmothoe commensalis
Harmothoe exanthema
Harmothoe magellanica
Harmothoe spinosa
Hemipodia simplex
Hermadion magalhaensi
Hyalinoecia araucana
Hyalinoecia artifex
Hyalinoecia tubicola
Hyalopomatus nigropileatus
Hydroides chilensis
Isolda viridis
Kinbergonuphis notialis
Kirkegaardia antonbruunae
Kirkegaardia chilensis
Krohnia lepidota
Laetmonice producta
Lamispina chilensis
Laonice cirrata
Laonice weddellia
Laubieriopsis brevis
Laubierpholoe antipoda
Leanira quatrefagesi
Leitoscoloplos chilensis
Leitoscoloplos kerguelensis
Leitoscoloplos pugettensis
Leodamas marginatus
Leodice antennata
Lepidasthenia gigas
Lepidonotus furcillatus
Levinsenia gracilis
Levinsenia oculata
Linopherus annulata
Lopadorrhynchus brevis
Lumbrineris bifilaris
Lumbrineris chilensis
Lumbrineris cingulata
Lumbrineris kerguelensis
Lumbrineris magalhaensis
Lumbrineris tetraura
Lysilla laeviseta
Macellicephala nationalis
Magelona phyllisae
Maldane sarsi
Maupasia coeca
Mediomastus branchiferus
Melinna cristata
Naiades cantrainii
Neanthes kerguelensis
Neoleanira magellanica
Neoleprea streptochaeta
Neopolynoe antarctica
Nephtys ferruginea
Nephtys imbricata
Nephtys paradoxa
Nereis dorsolobata
Nereis pelagica
Nicolea chilensis
Nicolea lobulata
Nicon maculata
Ninoe falklandica
Ninoe leptognatha
Notaulax phaeotaenia
Nothria anoculata
Nothria conchylega
Notocirrus lorum
Notomastus chilensis
Notomastus latericeus
Odontosyllis magnanuchalata
Onuphis holobranchiata
Onuphis iridescens
Onuphis pseudoiridescens
Ophelia bipartita
Ophelina breviata
Ophelina delapidans
Ophryotrocha claparedei
Orbiniella branchiata
Palola siciliensis
Paracapitella pettiboneae
Paradiopatra ehlersi
Paraehlersia kawesqar
Paramphinome australis
Paraninoe antarctica
Paraprionospio pinnata
Paratyposyllis paurocirrata
Pareurythoe chilensis
Parexogone parahebes
Pelagobia longicirrata
Perinereis gualpensis
Petta assimilis
Pholoe polymorpha
Phragmatopoma virgini
Phyllochaetopterus monroi
Phyllodoce basalis
Phyllodoce truncata
Pilargis rozbaczyloi
Pionosyllis kerguelensis
Pionosyllis longisetosa
Pista brevibranchiata
Pista breviuncinata
Pista cristata
Pista parapacifica
Platynereis magalhaensis
Podarmus ploa
Polycirrus hesslei
Polycirrus plumosus
Polydora hoplura
Polydora rickettsi
Polyeunoa laevis
Potamilla antarctica
Prionospio ehlersi
Prionospio patagonica
Prionospio peruana
Prionospio pygmaeus
Prionospio steenstrupi
Proscoloplos confusus
Prosphaerosyllis brandhorsti
Protoariciella heterosetosa
Protoariciella parauncinata
Protobonellia mitsukurii
Psamathe fusca
Pseudexogone backstromi
Pseudovermilia occidentalis
Rhynchonereella gracilis
Rhynchonereella petersii
Romanchella pustulata
Sagitella kowalewskii
Salmacina falklandica
Scalibregma inflatum
Scalibregmides chilensis
Scolelepis quinquedentata
Serpula narconensis
Shinkai robusta
Sigambra bassi
Sigambra tentaculata
Sphaerodoropsis parva
Sphaerosyllis dubiosa
Sphaerosyllis hirsuta
Spiophanes bombyx
Spiophanes duplex
Spiophanes kroyeri
Spirobranchus minutus
Spirobranchus triqueter
Sternaspis chilensis
Sternaspis scutata
