Acanthina monodon
Acanthochitona imperatrix
Acanthopleura echinata
Acesta patagonica
Acharax patagonica
Adelomelon ancilla
Admete magellanica
Admete philippii
Aeneator castillai
Aeneator fontainei
Aforia goniodes
Altenaeum mabillei
Anatoma conica
Anatoma euglypta
Anomacme smithi
Antarctospira falklandica
Antisabia foliacea
Antistreptus magellanicus
Aploradoherpia insolita
Argopecten purpuratus
Aulacomya atra
Austrolittorina araucana
Austrolittorina fernandezensis
Austrorossia mastigophora
Bathyarca orbiculata
Bathyarca sinuata
Bathybembix humboldti
Bathybembix macdonaldi
Bathymargarites symplector
Bathyspinula calcar
Bathyspinula calcarella
Bathyteuthis abyssicola
Bentharca asperula
Berthella platei
Brachidontes granulatus
Bulla punctulata
Caecum amydroglyptum
Caecum campanulatum
Caecum pascuanum
Caecum rapanuiense
Calliostoma modestulum
Calliostoma nudum
Calliotropis crustulum
Callistoctopus rapanui
Callochiton bouveti
Callochiton puniceus
Callochiton steinenii
Capulus subcompressus
Capulus ungaricoides
Carditella naviformis
Carditopsis flabellum
Carditopsis malvinae
Cavineptunea insularis
Cerithidium actinium
Chaetoderma araucanae
Chaetopleura benaventei
Chaetopleura peruviana
Chiton cumingsii
Chiton magnificus
Cirroteuthis hoylei
Cirsotrema magellanicum
Cocculina superba
Concholepas concholepas
Conus miliaris
Conus musicus
Conus nanus
Coralliophila latilirata
Coralliophila violacea
Coronium acanthodes
Crassilabrum crassilabrum
Crenella decussata
Crepipatella dilatata
Ctena bella
Cuspidaria patagonica
Cuspidaria tenella
Cyamiocardium denticulatum
Cyamiomactra chilensis
Cyclocardia astartoides
Cyclocardia compressa
Cyclocardia spurca
Cyclocardia velutina
Cyclopecten pernomus
Cyclopecten subhyalinus
Cylichna gelida
Delectopecten polyleptus
Delectopecten vitreus
Delectopecten zacae
Dentalium magellanicum
Dermatomya mactroides
Doris fontainii
Dosidicus gigas
Echinolittorina peruviana
Ectenagena australis
Enixotrophon declinans
Enixotrophon veronicae
Ennucula eltanini
Ennucula grayi
Ennucula puelcha
Enoplochiton niger
Enteroctopus megalocyathus
Entodesma elongatulum
Entodesma solemyalis
Epicodakia falklandica
Ervilia bisculpta
Eucleoteuthis luminosa
Eulepetopsis vitrea
Euplica loisae
Eurhomalea exalbida
Eurhomalea rufa
Euspira strebeli
Falsilunatia carcellesi
Falsitromina fenestrata
Felicioliva peruviana
Fiona pinnata
Fissurella costata
Fissurella crassa
Fissurella cumingi
Fissurella latimarginata
Fissurella limbata
Fissurella maxima
Fissurella nigra
Fissurella oriens
Fissurella picta
Fissurella pulchra
Fuegotrophon pallidus
Fusitriton magellanicus
Gaimardia bahamondei
Galiteuthis glacialis
Glypteuthria meridionalis
Gonatus antarcticus
Gymnobela eugenia
Harpagoherpia tenuisoleata
Heliacus implexus
Hiatella arctica
Histioteuthis atlantica
Histioteuthis eltaninae
Homalopoma cunninghami
Imbricariopsis punctata
Impages stylata
Iothia emarginuloides
Ischnochiton pusio
Julia exquisita
Kellia bullata
Laevilitorina caliginosa
Laternula elliptica
Leptadrillia elissa
Leptochiton kerguelensis
Leptochiton medinae
Leptochiton smirnovi
Leptocollonia innocens
Leptopecten latiauratus
Limatula deceptionensis
Limatula hodgsoni
Limea pygmaea
Limopsis hirtella
Limopsis knudseni
Limopsis mabilliana
Limopsis marionensis
Lissarca miliaris
Lissarca notorcadensis
Lucinoma antarctica
Lucinoma lamellata
Malletia chilensis
Margarella violacea
Marseniopsis conica
Mastigoteuthis schmidti
Maurea chilena
Maurea delli
Melampus castaneus
Merica stuardoi
Meteuthria martensi
Miomelon alarconi
Miomelon eltanini
Mitrella rubra
Monetaria caputserpentis
Monetaria moneta
Morula uva
Muusoctopus eureka
Mytilus chilensis
Nacella clypeater
Nacella concinna
Nacella deaurata
Nacella flammea
Nacella magellanica
Nacella mytilina
Naria cernica
Naria englerti
Neolepton cobbi
Neolepton concentricum
Neolepton hupei
Nerita lirellata
Nodilittorina pyramidalis
Nucula austrobenthalis
Nucula profundorum
Nuttallochiton hyadesi
Octopus penicillifer
Octopus vulgaris
Odontocymbiola magellanica
Onoba fuegoensis
Onoba protofimbriata
Onoba schythei
Onychoteuthis banksii
Onykia ingens
Opisthoteuthis bruuni
Pandora braziliensis
Pandora cistula
Parabuccinum bisculptum
Parabuccinum rauscherti
Paradmete crymochara
Parateuthis tunicata
Pareuthria atrata
Pareuthria fuscata
Pareuthria janseni
Pareuthria michaelseni
Pareuthria venustula
Parmaphorella melvilli
Pascahinnites pasca
Pascula citrica
Perumytilus purpuratus
Phidiana lottini
Philobrya aequivalvis
Philobrya atlantica
Philobrya capillata
Philobrya crispa
Philobrya magellanica
Philobrya multistriata
Philobrya sublaevis
Photinastoma taeniatum
Photinula coerulescens
Photinula roseolineata
Phyllomenia cornuadentata
Plaxiphora aurata
Plaxiphora mercatoris
Pleurotomella ohlini
Polinices uber
Priene scabrum
Prisogaster niger
Propeleda longicaudata
Propeleda louiseae
Prosipho antarctidis
Pruvotina longispinosa
Pterygioteuthis gemmata
Ptychosyrinx chilensis
Puncturella noachina
Pupatonia magellanica
Pyrgocythara nodulosa
Pyroteuthis margaritifera
Rissoina costata
Rissoina inca
Robsonella fontanianus
Scissurella clathrata
Scurria araucana
Scurria ceciliana
Scurria parasitica
Scurria plana
Scurria scurra
Scurria variabilis
Scurria viridula
Scurria zebrina
Semele solida
Semimytilus algosus
Semirossia patagonica
Silicula patagonica
Simulamerelina crassula
Siphonaria lateralis
Stenosemus chiversi
Stenosemus exaratus
Stomatella esperanzae
Tagelus dombeii
Tectonatica impervia
Tegula atra
Tegula luctuosa
Teuthowenia pellucida
Thaumeledone brevis
Thracia meridionalis
Thyasira debilis
Tindaria virens
Todarodes angolensis
Todarodes filippovae
Toledonia perplexa
Toledonia punctata
Tonicia chilensis
Tonicia disjuncta
Tonicia lebruni
Tremoctopus violaceus
Triphora aporema
Triphora eucharis
Triphora leucathema
Trochita pileolus
Trochita pileus
Trophon bahamondei
Trophon geversianus
Trophon minutus
Trophon ohlini
Turbonilla sanmatiensis
Turritella congelata
Typhlodaphne filostriata
Typhlodaphne payeni
Typhlodaphne strebeli
Volvarina dozei
Volvarina warrenii
Walvisteuthis rancureli
Williamia radiata
Xanthochorus buxeus
Xanthochorus cassidiformis
Xylophaga globosa
Xymenopsis muriciformis
Yoldiella chilenica
Yoldiella sabrina
Yoldiella valettei
Zygochlamys patagonica
