Alciopa reynaudii
Alciopina paumotanus
Alvinella caudata
Alvinella pompejana
Amphisamytha galapagensis
Anchinothria pycnobranchiata
Aphrodita magellanica
Archinome rosacea
Asclerocheilus tropicus
Bathybdella sawyeri
Bhawania goodei
Boccardia galapagense
Boccardia tricuspa
Boccardiella bihamata
Branchinotogluma hessleri
Branchinotogluma sandersi
Branchiplicatus cupreus
Branchipolynoe symmytilida
Chaetopterus aduncus
Chaetopterus charlesdarwinii
Chaetopterus galapagensis
Crucigera websteri
Dipolydora giardi
Dipolydora socialis
Eunice filamentosa
Exogone longicornis
Exogone microtentaculata
Exogone naidinoides
Galapagomystides aristata
Gorgoniapolynoe galapagensis
Harmothoe macnabi
Hesiospina vestimentifera
Hyboscolex equatorialis
Hydroides brachyacantha
Hydroides crucigera
Hydroides gairacensis
Hydroides inermis
Hydroides ochotereana
Ilyphagus bythincola
Lagisca irritans
Laminatubus alvini
Laubieriellus grasslei
Leodice antennata
Lepidasthenia varius
Lepidonotopodium riftense
Lepidonotopodium williamsae
Lepidonotus jacksoni
Levensteiniella kincaidi
Lopadorrhynchus brevis
Lopadorrhynchus uncinatus
Macellicephala galapagensis
Maupasia coeca
Mesochaetopterus ecuadorica
Microspio paradoxa
Myrianida arborea
Myrianida multidenticulata
Naineris laevigata
Nereimyra alvinae
Nereis sandersi
Nerilla parva
Nicomache arwidssoni
Nicon orensanzi
Ophryotrocha akessoni
Orbiniella aciculata
Owenia fusiformis
Paleaequor psamathe
Palola siciliensis
Paralvinella grasslei
Pelagobia longicirrata
Phalacrophorus pictus
Phyllodoce varia
Plotohelmis alata
Plotohelmis capitata
Polydora cirrosa
Polydora ecuadoriana
Polydora websteri
Polynoella brunnea
Prionospio cirrifera
Prionospio sandersi
Protis hydrothermica
Protodrilus infundibuliformis
Pseudopolydora primigenia
Pseudovermilia occidentalis
Pyrgopolon ctenactis
Questa media
Rhynchonereella angelini
Riftia pachyptila
Rullierinereis mexicana
Sagitella kowalewskii
Salvatoria concinna
Salvatoria mediodentata
Siboglinum albatrossianum
Siboglinum ecuadoricum
Sphaerosyllis pumila
Spirobranchus giganteus
Spirobranchus minutus
Syllides edentatus
Syllis glarearia
Tomopteris septentrionalis
Typhloscolex muelleri
Typosyllis magna
Vanadis crystallina
Vermiliopsis annulata
Xandaros acanthodes
