Aplysilla sulfurea
Auletta dendrophora
Bathydorus spinosissimus
Bathydorus uncifer
Chondrilla verrucosa
Cinachyrella globulosa
Conorete erectum
Corallistes isabela
Desmacella alba
Desmacella vestibularis
Erylus oxyaster
Geodia micropora
Geodia oxyastra
Guitarra abbotti
Halicnemia diazae
Hexactinella labyrinthica
Hexactinella ventilabrum
Hymeniacidon sinapium
Iophon indentatus
Iophon lamella
Oceanapia microtoxa
Phakellia hooperi
Phorbas californianus
Plakina fragilis
Plakina microlobata
Plakina pacifica
Plakortis galapagensis
Poecillastra cribraria
Polymastia maeandria
Polymastia villosa
Pozziella cerilla
Quasillina translucida
Regadrella phoenix
Sclerothamnopsis compressa
Sigmosceptrella hospitalis
Spongosorites smithae
Stelletta eduardoi
Stylocordyla borealis
Thenea fenestrata
Tretodictyum tubulosum
