Abyssicaprella galatheae
Acanthaspidia neonotus
Acanthephyra curtirostris
Acanthephyra faxoni
Acanthocope orbus
Acanthocyclus gayi
Achtheinus oblongus
Aetideus bradyi
Allopetrolisthes angulosus
Alpheus inca
Amblyops ewingi
Ameira bathyalis
Anarthron chilensis
Apocyclops panamensis
Apseudes spinosus
Archaeocuma peruanum
Archescolecithrix auropecten
Arcoscalpellum galapaganum
Arenaeus mexicanus
Arietellus simplex
Aspidoniscus perplexus
Augaptilus longicaudatus
Austrogonium abyssale
Austromegabalanus psittacus
Azygocypridina rudjakovi
Bacescomysis birsteini
Bacescomysis peruvianus
Bacescomysis tattersallae
Balanus laevis
Barbaracletodes barbara
Barbaracletodes carola
Basipodella harpacticola
Bathyconchoecia deeveyae
Bathypalaemonella delsolari
Belonectes latifrons
Betamorpha profunda
Bomolochus constrictus
Boreomysis californica
Boreomysis fragilis
Bruzelia guayacura
Calanus chilensis
Calanus finmarchicus
Calanus helgolandicus
Calanus propinquus
Caligus bonito
Caligus callaoensis
Calocarides quinqueseriatus
Campylaspis antarctica
Campylaspis bulbosa
Candacia bipinnata
Candacia curta
Candacia pachydactyla
Carpoapseudes menziesi
Centropages brachiatus
Centropages typicus
Ceratothoa gaudichaudii
Cerviniella peruana
Chaetarcturus praecipius
Chalaraspidum alatum
Chauliopleona armata
Chirundinella magna
Chondracanthus lepophidii
Cirolana diminuta
Clausocalanus arcuicornis
Cletocamptus deitersi
Colossendeis colossea
Conchoecetta giesbrechti
Cryptocopoides arcticus
Cymothoa exigua
Cyproniscus decemspinosus
Cyproniscus octospinosus
Dactylopia peruana
Delavalia lima
Desmosoma brevicauda
Desmosoma dolosus
Desmosoma funalis
Desmosoma neomana
Desmosoma rotundus
Desmosoma similipes
Disconectes cavusa
Echthrogaleus denticulatus
Elthusa vulgaris
Emerita rathbunae
Ethusina faxonii
Euaugaptilus angustus
Euaugaptilus magnus
Euaugaptilus oblongus
Euaugaptilus squamatus
Eucalanus muticus
Euchaeta acuta
Euchaeta longicornis
Euchaetomera plebeja
Euchirella bella
Euchirella galeata
Euchirella grandicornis
Euchirella messinensis
Euchirella rostrata
Euchirella venusta
Euconchoecia aculeata
Eucopia sculpticauda
Eucopia unguiculata
Eudactylina peruensis
Eudorella fallax
Eudorella gracilior
Eudorella parvula
Eudorella similis
Euphausia distinguenda
Euphausia eximia
Euphausia lamelligera
Euphausia mucronata
Euphausia tenera
Eurycope eltaniae
Eurycope manifesta
Eurysquilla solari
Eurytium tristani
Fagegnathophausia gracilis
Gaetanus kruppii
Gaetanus pileatus
Gastroptychus cavimurus
Glyphocrangon alata
Glyptolithodes cristatipes
Gnathia incana
Gnathia lacunacapitalis
Gracilimesus modestatenuis
Haliporoides diomedeae
Haloptilus ornatus
Haloschizopera abyssi
Haloschizopera lima
Hansenomysis chini
Hansenomysis menziesi
Hansenomysis spenceri
Hansenomysis tropicalis
Haploniscus acutirostris
Haploniscus bruuni
Harbansus rhabdion
Hepatus chiliensis
Heterocarpus hostilis
Heterocarpus vicarius
Heteroleucon bacescui
Heteroptilus acutilobus
Heterorhabdus americanus
Heterorhabdus papilliger
Heterorhabdus spinifrons
Homolodromia robertsi
Hyphalion tertium
Ilyarachna defecta
Ilyarachna pervica
Ilyarachna vemae
Inachoides lambriformis
Intercanuella lima
Ischnomesus calcificus
Ischnomesus simplex
Janirella latifrons
Labidocera acutifrons
Lebbeus splendidus
Lepidopa deamae
Lernanthropus huamani
Lernanthropus paralonchuri
Lernanthropus tylosuri
Liljeborgia holthuisi
Livoneca bowmani
Lophorochinia parabranchia
Lucicutia grandis
Macrocypria semesa
Macropyxis antonbruunae
Macropyxis eltaninae
Macropyxis kaesleri
Macropyxis kalbi
Macrostylis longifera
Malacopsyllus hades
Mastigoniscus concavus
Mastigoniscus gratus
