Abyla trigona
Abylopsis tetragona
Actinothoe gravieri
Aeginura grimaldii
Aequorea coerulescens
Aequorea macrodactyla
Aglaura hemistoma
Anactis picta
Anemonia alicemartinae
Antholoba achates
Anthothoe chilensis
Astrangia haimei
Athorybia rosacea
Atolla wyvillei
Bartholomea peruviana
Bassia bassensis
Bunodosoma grande
Chromatonema rubrum
Cnidanthea maculata
Colobonema sericeum
Crossota brunnea
Cunina globosa
Cunina peregrina
Cunina tenella
Diphyes bojani
Epizoanthus elongatus
Halicreas minimum
Hippopodius hippopus
Leptogorgia daniana
Leptogorgia rigida
Liponema multiporum
Liriope tetraphylla
Lizzia gracilis
Muricea fruticosa
Nausithoe rubra
Nautanthus bathypelagicus
Nemactis primula
Obelia striata
Oulactis concinnata
Paractis peruviana
Parantheopsis ocellata
Paranthus niveus
Pegantha clara
Pegantha martagon
Pelagia noctiluca
Pelagia panopyra
Periphyllopsis braueri
Phellia rubens
Phymactis clematis
Phymactis papillosa
Phymanthea pluvia
Physophora hydrostatica
Polymyces montereyensis
Protiaropsis anonyma
Renilla muelleri
Rhizophysa eysenhardtii
Sagartia lessonii
Solmissus incisa
Solmissus marshalli
Solmundella bitentaculata
Sulculeolaria biloba
Trichydra pudica
Truncatoflabellum truncum
Vogtia spinosa
