Abyssocucumis abyssorum
Aceste ovata
Aeropsis fulva
Allothyone mexicana
Amperima naresi
Amphilepis nuda
Amphilepis patens
Amphioplus daleus
Astrometis sertulifera
Bathyplotes moseleyi
Benthodytes sanguinolenta
Brisaster townsendi
Brissopsis pacifica
Caenocentrotus gibbosus
Ceraplectana trachyderma
Clypeaster europacificus
Eremicaster crassus
Eremicaster vicinus
Eucidaris thouarsii
Gephyrothuria alcocki
Gymnophiura concava
Heliaster cumingi
Heliaster helianthus
Heliaster kubiniji
Holanthus tenuis
Hymenaster trias
Hymenodiscus monacantha
Linckia columbiae
Litonotaster tumidus
Luidia bellonae
Luidia columbia
Luidia ferruginea
Luidia phragma
Lytechinus semituberculatus
Molpadia granulata
Molpadia intermedia
Molpadia musculus
Molpadiodemas ustulatus
Molpadiodemas violaceus
Myxoderma longispinum
Myxoderma qawashqari
Ophiacantha cosmica
Ophiactis kroeyeri
Ophiactis savignyi
Ophiernus seminudus
Ophioderma peruana
Ophiosphalma glabrum
Pannychia moseleyi
Patallus mollis
Patiria chilensis
Pattalus mollis
Pentamera zacae
Plesiodiadema globulosum
Protankyra brychia
Psychropotes longicauda
Scotoplanes globosa
Stichaster striatus
Synallactes aenigma
Tethyaster canaliculatus
Tetrapygus niger
Theodoria madseni
Ypsilothuria bitentaculata
Zygothuria lactea
