Ablennes hians
Aboma etheostoma
Abudefduf concolor
Abudefduf taurus
Abudefduf troschelii
Abyssobrotula galatheae
Acanthemblemaria balanorum
Acanthemblemaria exilispinus
Acanthemblemaria hancocki
Acanthemblemaria stephensi
Acanthistius pictus
Acanthocybium solandri
Acanthonus armatus
Acanthurus chirurgus
Acanthurus coeruleus
Acanthurus nigricans
Acanthurus triostegus
Acanthurus xanthopterus
Achirus klunzingeri
Achirus mazatlanus
Achirus scutum
Akko brevis
Albula esuncula
Albula pacifica
Albula vulpes
Alectis ciliaris
Alphestes immaculatus
Alphestes multiguttatus
Aluterus monoceros
Aluterus scriptus
Ammodytoides gilli
Amphiarius rugispinis
Anarchias galapagensis
Anchoa argentivittata
Anchoa chamensis
Anchoa curta
Anchoa eigenmannia
Anchoa exigua
Anchoa ischana
Anchoa lucida
Anchoa mundeola
Anchoa nasus
Anchoa panamensis
Anchoa scofieldi
Anchoa spinifer
Anchoa starksi
Anchoa walkeri
Anchovia macrolepidota
Anchoviella balboae
Ancylopsetta dendritica
Anisotremus interruptus
Anisotremus scapularis
Anisotremus taeniatus
Antennarius commerson
Antennatus sanguineus
Antennatus strigatus
Aphareus furca
Aplatophis zorro
Apogon atradorsatus
Apogon dovii
Apogon pacificus
Apogon retrosella
Apterichtus equatorialis
Arcos decoris
Arcos erythrops
Arcos rhodospilus
Argentina aliceae
Argentina sialis
Argyropelecus lychnus
Ariopsis seemanni
Ariosoma gilberti
Ariosoma prorigerum
Arothron hispidus
Arothron meleagris
Asthenomacrurus fragilis
Atherinella chagresi
Atherinella pachylepis
Atherinella starksi
Atherinomorus stipes
Aulostomus chinensis
Auxis brachydorax
Auxis thazard
Awaous banana
Axoclinus lucillae
Axoclinus rubinoffi
Bagre panamensis
Bagre pinnimaculatus
Bairdiella ensifera
Balistes polylepis
Bascanichthys cylindricus
Bascanichthys panamensis
Bassozetus nasus
Bathophilus filifer
Bathycongrus macrurus
Bathycongrus varidens
Bathygobius andrei
Bathygobius lineatus
Bathygobius ramosus
Bathylagoides nigrigenys
Bathypterois atricolor
Batrachoides boulengeri
Batrachoides pacifici
Bellator gymnostethus
Bellator loxias
Bellator xenisma
Bodianus diplotaenia
Bollmannia chlamydes
Bollmannia gomezi
Bollmannia marginalis
Bollmannia ocellata
Bollmannia stigmatura
Bollmannia umbrosa
Borophryne apogon
Bothus constellatus
Bothus leopardinus
Bothus mancus
Bregmaceros bathymaster
Brotula clarkae
Brotula ordwayi
Bryx veleronis
Calamus brachysomus
Cantherhines dumerilii
Canthidermis maculata
Canthigaster janthinoptera
Canthigaster punctatissima
Carangoides orthogrammus
Carangoides otrynter
Caranx caballus
Caranx caninus
Caranx hippos
Caranx lugubris
Caranx melampygus
Caranx sexfasciatus
Caranx vinctus
Carapus dubius
Cathorops dasycephalus
Cathorops fuerthii
Cathorops hypophthalmus
Cathorops manglarensis
Cathorops multiradiatus
Cathorops tuyra
Caulolatilus affinis
Caulolatilus princeps
Centrophryne spinulosa
Centropomus armatus
Centropomus medius
Centropomus nigrescens
Centropomus robalito
Centropomus unionensis
Centropomus viridis
Cephalopholis panamensis
Cerdale ionthas
Cerdale paludicola
Cetengraulis mysticetus
Chaenomugil proboscideus
Chaenophryne longiceps
Chaenophryne ramifera
Chaenopsis deltarrhis
Chaetodipterus zonatus
Chaetodon humeralis
Chanos chanos
Chauliodus barbatus
Cheilopogon dorsomacula
Cheilopogon nigricans
Cheilopogon xenopterus
Chiloconger dentatus
Chilomycterus reticulatus
Chlopsis apterus
Chloroscombrus orqueta
Choeroichthys smithi
Chriolepis lepidota
Chromis alta
Chromis atrilobata
Cichlasoma atromaculatum
Cirrhitichthys oxycephalus
Cirrhitus rivulatus
Citharichthys gilberti
Citharichthys gordae
Citharichthys platophrys
Citharichthys stigmaeus
Clarkichthys bilineatus
Conodon macrops
Cookeolus japonicus
Coralliozetus angelicus
Coralliozetus springeri
Corvula macrops
Coryphaena equiselis
Coryphaena hippurus
Coryphaenoides bulbiceps
Coryphopterus urospilus
Ctenochaetus marginatus
Ctenochirichthys longimanus
Ctenogobius manglicola
Ctenogobius sagittula
Cubiceps pauciradiatus
Cyclopsetta chittendeni
Cyclopsetta panamensis
Cyclopsetta querna
Cyclothone signata
Cynoponticus coniceps
Cynoscion albus
Cynoscion analis
Cynoscion nannus
Cynoscion phoxocephalus
Cynoscion praedatorius
Cynoscion reticulatus
Cynoscion squamipinnis
Cynoscion stolzmanni
Cypselurus callopterus
Dactyloscopus byersi
Dactyloscopus fimbriatus
Dactyloscopus lunaticus
Dactyloscopus zelotes
Daector dowi
Daector reticulata
Dajaus monticola
Decapterus macarellus
Decapterus macrosoma
Deckertichthys aureolus
Decodon melasma
Dermatolepis dermatolepis
Dialommus macrocephalus
Diapterus brevirostris
Diapterus peruvianus
Dibranchus hystrix
Dibranchus nudivomer
Diodon eydouxii
Diodon holocanthus
Diodon hystrix
Diogenichthys laternatus
Diplectrum eumelum
Diplectrum euryplectrum
Diplectrum macropoma
Diplectrum maximum
Diplectrum pacificum
Diplectrum rostrum
Dolopichthys allector
Dormitator latifrons
Dormitator maculatus
Doryrhamphus excisus
Echeneis naucrates
Echidna nebulosa
Echidna nocturna
Echiodon exsilium
Echiophis brunneus
Ekemblemaria lira
Ekemblemaria myersi
Elacatinus digueti
Elacatinus puncticulatus
Elagatis bipinnulata
Elattarchus archidium
Eleotris picta
Eleotris tecta
Elops affinis
Emblemaria nivipes
Emblemaria piratica
Enchelybrotula gomoni
Enchelycore octaviana
Engyophrys sanctilaurentii
Enneanectes carminalis
Entomacrodus chiostictus
Enypnias seminudus
Epinephelus analogus
Epinephelus cifuentesi
Epinephelus fasciatus
Epinephelus labriformis
Epinephelus quinquefasciatus
Erotelis armiger
Erotelis smaragdus
Ethmidium maculatum
Etropus crossotus
Etropus ectenes
Etropus peruvianus
Etrumeus teres
Eucinostomus argenteus
Eucinostomus currani
Eucinostomus dowii
Eucinostomus entomelas
Eucinostomus gracilis
Eugerres axillaris
Eugerres lineatus
Eugerres periche
Euleptorhamphus viridis
Euthynnus lineatus
Evermannia zosterura
Evorthodus minutus
Exocoetus monocirrhus
Facciolella equatorialis
Fistularia commersonii
Fistularia corneta
Fodiator acutus
Fodiator rostratus
Forcipiger flavissimus
Fowlerichthys avalonis
Gempylus serpens
Genyatremus dovii
Genyatremus pacifici
Gerres cinereus
Gillellus semicinctus
Gnathanodon speciosus
Gnathophis cinctus
Gobiesox adustus
Gobiesox daedaleus
Gobioides peruanus
Gobiomorus dormitor
Gobiomorus maculatus
