Ablennes hians
Abudefduf concolor
Abudefduf saxatilis
Abudefduf troschelii
Acanthemblemaria balanorum
Acanthemblemaria castroi
Acanthemblemaria exilispinus
Acanthemblemaria hancocki
Acanthocybium solandri
Acanthurus nigricans
Acanthurus triostegus
Acanthurus xanthopterus
Achirus declivis
Achirus klunzingeri
Achirus mazatlanus
Achirus scutum
Albula esuncula
Albula pacifica
Alectis ciliaris
Alepocephalus owstoni
Alphestes afer
Alphestes immaculatus
Alphestes multiguttatus
Aluterus scriptus
Ammodytoides gilli
Anarchias galapagensis
Anchoa argentivittata
Anchoa eigenmannia
Anchoa exigua
Anchoa ischana
Anchoa lucida
Anchoa nasus
Anchoa spinifer
Anchoa starksi
Anchoa walkeri
Anchovia clupeoides
Anchovia macrolepidota
Anguilla marmorata
Anisotremus caesius
Anisotremus interruptus
Anisotremus scapularis
Anisotremus surinamensis
Anisotremus taeniatus
Antennatus sanguineus
Antennatus strigatus
Anthias noeli
Apogon atradorsatus
Apogon atricaudus
Apogon dovii
Apogon guadalupensis
Apogon pacificus
Apterichtus equatorialis
Archosargus pourtalesii
Arcos decoris
Arcos poecilophthalmos
Arcos rhodospilus
Argentina aliceae
Argyropelecus aculeatus
Argyropelecus affinis
Argyropelecus lychnus
Argyropelecus olfersii
Argyropelecus sladeni
Ariopsis seemanni
Ariosoma gilberti
Ariosoma prorigerum
Arothron hispidus
Arothron meleagris
Aseraggodes herrei
Astronesthes boulengeri
Astronesthes lampara
Astronesthes martensii
Astroscopus zephyreus
Atherinella nesiotes
Atherinella nocturna
Atherinella serrivomer
Atherinella starksi
Aulopus bajacali
Aulostomus chinensis
Auxis brachydorax
Auxis eudorax
Awaous banana
Azurina eupalama
Bagre bagre
Bagre panamensis
Bairdiella ensifera
Bairdiella sanctaeluciae
Balistes polylepis
Bascanichthys cylindricus
Bathygobius andrei
Bathygobius lineatus
Bathygobius ramosus
Bathygobius soporator
Bathylagoides nigrigenys
Bathyonus caudalis
Bathypterois atricolor
Bathypterois pectinatus
Bathypterois phenax
Batrachoides pacifici
Bellator farrago
Bellator gymnostethus
Bellator loxias
Benthodesmus tenuis
Bodianus diplotaenia
Bodianus eclancheri
Bolinichthys longipes
Bollmannia chlamydes
Bollmannia marginalis
Bollmannia ocellata
Bollmannia stigmatura
Borophryne apogon
Bothus constellatus
Bothus leopardinus
Bothus mancus
Brama dussumieri
Brama japonica
Bregmaceros bathymaster
Brotula clarkae
Brotula ordwayi
Bryx veleronis
Calamopteryx jeb
Calamus brachysomus
Calamus taurinus
Callechelys galapagensis
Calotomus carolinus
Cantherhines dumerilii
Canthidermis maculata
Canthigaster amboinensis
Canthigaster janthinoptera
Canthigaster punctatissima
Canthigaster valentini
Carangoides orthogrammus
Carangoides otrynter
Caranx caballus
Caranx caninus
Caranx hippos
Caranx lugubris
Caranx melampygus
Caranx ruber
Caranx sexfasciatus
Cataetyx rubrirostris
Cathorops dasycephalus
Cathorops fuerthii
Cathorops multiradiatus
Caulolatilus affinis
Caulolatilus hubbsi
Caulolatilus princeps
Centropomus armatus
Centropomus nigrescens
Centropomus robalito
Centropomus unionensis
Centropomus viridis
Cephalopholis panamensis
Cetengraulis mysticetus
Chaenomugil proboscideus
Chaenopsis schmitti
Chaetodipterus zonatus
Chaetodon auriga
Chaetodon humeralis
Chaetodon kleinii
Chaetodon lunula
Chaetodon meyeri
Chaetodon unimaculatus
Chanos chanos
Chauliodus barbatus
Chauliodus sloani
Cheilopogon atrisignis
Cheilopogon cyanopterus
Cheilopogon dorsomacula
Cheilopogon furcatus
Cheilopogon nigricans
Cheilopogon spilonotopterus
Cheilopogon xenopterus
Chiasmodon niger
Chiasmodon subniger
Chilara taylori
Chiloconger dentatus
Chilomycterus reticulatus
Chlopsis bicollaris
Chlorophthalmus mento
Chloroscombrus orqueta
Chriolepis tagus
Chromis alta
Chromis atrilobata
Cilus gilberti
