Ablennes hians
Aboma etheostoma
Abudefduf concolor
Abudefduf saxatilis
Abudefduf troschelii
Acanthistius pictus
Acanthocybium solandri
Achirus klunzingeri
Achirus mazatlanus
Achirus scutum
Agonopsis chiloensis
Akko brevis
Albula esuncula
Alectis ciliaris
Alepocephalus asperifrons
Alepocephalus owstoni
Alepocephalus planifrons
Alphestes immaculatus
Alphestes multiguttatus
Aluterus monoceros
Anchoa argentivittata
Anchoa curta
Anchoa exigua
Anchoa lucida
Anchoa nasus
Anchoa panamensis
Anchoa spinifer
Anchoa starksi
Anchovia clupeoides
Anchovia macrolepidota
Ancylopsetta dendritica
Anisotremus interruptus
Anisotremus scapularis
Anoplogaster cornuta
Aphos porosus
Aplodactylus punctatus
Apogon dovii
Apogon pacificus
Argentina aliceae
Argyropelecus lychnus
Argyropelecus olfersii
Ariopsis seemanni
Astroscopus zephyreus
Atherinella nocturna
Atherinella pachylepis
Atherinella serrivomer
Auchenionchus microcirrhis
Avocettina bowersii
Bagre panamensis
Bagre pinnimaculatus
Bairdiella ensifera
Bajacalifornia megalops
Balistes polylepis
Barbantus curvifrons
Bathophilus filifer
Bathophilus vaillanti
Bathygobius andrei
Bathygobius lineatus
Bathygobius ramosus
Bathygobius soporator
Bathylagoides nigrigenys
Bathypterois pectinatus
Batrachoides pacifici
Bodianus diplotaenia
Bodianus eclancheri
Bollmannia macropoma
Bollmannia stigmatura
Bollmannia umbrosa
Borophryne apogon
Bothus constellatus
Brama japonica
Bregmaceros bathymaster
Brotula clarkae
Brotula ordwayi
Calamus brachysomus
Calamus taurinus
Caranx caballus
Caranx caninus
Caranx sexfasciatus
Caranx vinctus
Cataetyx rubrirostris
Cataetyx simus
Cathorops multiradiatus
Caulolatilus affinis
Caulolatilus princeps
Centropomus armatus
Centropomus nigrescens
Centropomus robalito
Centropomus undecimalis
Centropomus unionensis
Centropomus viridis
Cetengraulis mysticetus
Chaenomugil proboscideus
Chaenophryne melanorhabdus
Chaetodipterus zonatus
Chaetodon humeralis
Chauliodus barbatus
Chauliodus danae
Cheilotrema fasciatum
Cherublemma emmelas
Chloroscombrus orqueta
Chromis alta
Chromis atrilobata
Chromis crusma
Chromis intercrusma
Cilus gilberti
Citharichthys fragilis
Citharichthys gilberti
Citharichthys platophrys
Coelorinchus canus
Coelorinchus chilensis
Cololabis adocetus
Congiopodus kieneri
Congiopodus peruvianus
Conodon macrops
Conodon serrifer
Coryphaena equiselis
Coryphaena hippurus
Coryphaenoides anguliceps
Coryphaenoides ariommus
Coryphaenoides boops
Coryphaenoides capito
Coryphaenoides delsolari
Cratinus agassizii
Ctenogobius manglicola
Ctenogobius sagittula
Ctenosciaena peruviana
Cubiceps paradoxus
Cyclopsetta querna
Cyclothone acclinidens
Cyclothone pseudopallida
Cynoponticus coniceps
Cynoscion analis
Cynoscion phoxocephalus
Cynoscion squamipinnis
Cynoscion stolzmanni
Cypselurus callopterus
Daector dowi
Decapterus macrosoma
Deckertichthys aureolus
Dermatolepis dermatolepis
Diapterus brevirostris
Diapterus peruvianus
Dibranchus hystrix
Dibranchus nudivomer
Dibranchus spinosus
Dicrolene filamentosa
Diodon holocanthus
Diogenichthys laternatus
Diplectrum conceptione
Diplectrum macropoma
Diplectrum maximum
Diplectrum pacificum
Diplectrum rostrum
Ditropichthys storeri
Dormitator latifrons
Dormitator maculatus
Echidna nocturna
Elassodiscus tremebundus
Elattarchus archidium
Eleotris picta
Elops affinis
Emblemaria hudsoni
Engraulis ringens
Engyophrys sanctilaurentii
Epinephelus analogus
Epinephelus labriformis
Epinephelus quinquefasciatus
Ethmidium maculatum
Etropus ectenes
Etropus peruvianus
Etrumeus teres
Eucinostomus gracilis
Eugerres periche
Eurypharynx pelecanoides
Euthynnus lineatus
Evermannia zosterura
Evorthodus minutus
Exocoetus obtusirostris
Exocoetus volitans
Fistularia corneta
Fowlerichthys avalonis
Galeichthys peruvianus
Genyatremus dovii
Genyatremus pacifici
Genypterus chilensis
Genypterus maculatus
Gerres simillimus
Girella freminvillii
Gobiesox marmoratus
Gobioides peruanus
Gobiomorus maculatus
Gobiosoma nudum
Gobiosoma paradoxum
Gymneleotris seminuda
Gymnothorax angusticeps
Gymnothorax dovii
Gymnothorax equatorialis
Gymnothorax porphyreus
Gymnothorax serratidens
Haemulon steindachneri
Haemulopsis axillaris
Haemulopsis leuciscus
Haemulopsis nitidus
Halichoeres aestuaricola
Halichoeres dispilus
Halichoeres notospilus
Hemanthias peruanus
Hemanthias signifer
Hemicaranx leucurus
Hemicaranx zelotes
Hemilutjanus macrophthalmos
Hemiramphus saltator
Herpetoichthys fossatus
Hippocampus ingens
Hippoglossina bollmani
Hippoglossina macrops
Hippoglossina montemaris
Hippoglossina tetrophthalma
Hirundichthys rondeletii
Holacanthus passer
Holtbyrnia intermedia
Holtbyrnia latifrons
Hoplostethus mento
Hoplostethus pacificus
Hoplunnis pacifica
Hygophum proximum
Hyporhamphus gilli
Hyporthodus acanthistius
Hyporthodus niphobles
Hypsoblennius brevipinnis
Hypsoblennius caulopus
Hypsoblennius paytensis
Hypsoblennius robustus
Hypsoblennius sordidus
Ilisha fuerthii
Isacia conceptionis
Isopisthus remifer
Istiompax indica
Johnrandallia nigrirostris
Kajikia audax
Kathetostoma averruncus
Katsuwonus pelamis
Kyphosus analogus
Labrisomus multiporosus
Labrisomus philippii
Lagocephalus lagocephalus
Larimus acclivis
Larimus argenteus
Larimus effulgens
Larimus pacificus
Lepidocybium flavobrunneum
Lepophidium microlepis
Lepophidium negropinna
Lepophidium pardale
Lepophidium prorates
Leptonotus blainvilleanus
Lile stolifera
Lobotes pacificus
Lophiodes caulinaris
Lophiodes spilurus
Lutjanus argentiventris
Lutjanus guttatus
Lutjanus jordani
Lutjanus novemfasciatus
Lutjanus peru
Lycenchelys chauliodus
Lycenchelys cicatrifer
Lycenchelys incisa
Lycenchelys pentactina
Lycenchelys pequenoi
Lycenchelys peruana
Lycenchelys scaurus
Lycodapus mandibularis
Malacoctenus tetranemus
Melamphaes acanthomus
Melanocetus johnsonii
Melanorhinus cyanellus
Menticirrhus elongatus
Menticirrhus nasus
Menticirrhus paitensis
Menticirrhus panamensis
Merluccius albidus
Microgobius crocatus
Microgobius curtus
Microgobius emblematicus
Microgobius miraflorensis
Microgobius tabogensis
Microlepidotus brevipinnis
Micropogonias altipinnis
Monolene maculipinna
Monomitopus malispinosus
Mugil cephalus
Mugil curema
Mulloidichthys dentatus
Muraena argus
Muraena lentiginosa
Mycteroperca olfax
Mycteroperca xenarcha
Myctophum affine
