Aculeola nigra
Amblyraja doellojuradoi
Apristurus brunneus
Apristurus nasutus
Bathyraja brachyurops
Bathyraja longicauda
Bathyraja magellanica
Bythaelurus canescens
Carcharhinus amblyrhynchos
Centroscyllium granulatum
Centroscyllium nigrum
Cephalurus cephalus
Cetorhinus maximus
Deania calcea
Discopyge tschudii
Etmopterus granulosus
Gurgesiella furvescens
Hexanchus griseus
Leucoraja circularis
Mustelus mento
Psammobatis rudis
Psammobatis scobina
Rajella nigerrima
Rhincodon typus
Schroederichthys bivius
Schroederichthys chilensis
Somniosus antarcticus
Squalus acanthias
Squatina argentina
Squatina armata
Sympterygia brevicaudata
Sympterygia lima
Zearaja chilensis
