Aetobatus narinari
Alopias pelagicus
Alopias vulpinus
Carcharhinus albimarginatus
Carcharhinus altimus
Carcharhinus brachyurus
Carcharhinus falciformis
Carcharhinus galapagensis
Carcharhinus leucas
Carcharhinus limbatus
Carcharhinus longimanus
Carcharhinus porosus
Diplobatis ommata
Echinorhinus cookei
Etmopterus virens
Galeocerdo cuvier
Galeorhinus galeus
Ginglymostoma cirratum
Gymnura marmorata
Heterodontus mexicanus
Heterodontus quoyi
Hypanus dipterurus
Hypanus guttatus
Hypanus longus
Mobula birostris
Mobula munkiana
Mobula thurstoni
Mustelus dorsalis
Mustelus henlei
Mustelus lunulatus
Narcine entemedor
Narcine leoparda
Narcine vermiculatus
Nasolamia velox
Nebrius ferrugineus
Negaprion brevirostris
Notorynchus cepedianus
Odontaspis ferox
Pristis perotteti
Pristis pristis
Pseudobatos glaucostigmus
Pseudobatos leucorhynchus
Pseudobatos planiceps
Pseudobatos prahli
Pteroplatytrygon violacea
Raja cortezensis
Raja equatorialis
Raja velezi
Rhincodon typus
Rhinoptera steindachneri
Rhizoprionodon longurio
Sphyrna corona
Sphyrna lewini
Sphyrna media
Sphyrna mokarran
Sphyrna tiburo
Sphyrna zygaena
Squatina armata
Triaenodon obesus
Urobatis tumbesensis
Urotrygon aspidura
Urotrygon caudispinosus
Urotrygon chilensis
Urotrygon munda
Urotrygon rogersi
Urotrygon serrula
Zapteryx xyster
