Aetobatus narinari
Alopias pelagicus
Alopias vulpinus
Apristurus kampae
Bathyraja peruana
Bythaelurus giddingsi
Carcharhinus albimarginatus
Carcharhinus altimus
Carcharhinus falciformis
Carcharhinus galapagensis
Carcharhinus leucas
Carcharhinus limbatus
Carcharhinus longimanus
Carcharhinus porosus
Carcharodon carcharias
Centroscyllium nigrum
Dasyatis brevis
Dasyatis marmorata
Galeocerdo cuvier
Galeus piperatus
Ginglymostoma cirratum
Gurgesiella furvescens
Heterodontus mexicanus
Heterodontus quoyi
Hypanus dipterurus
Hypanus guttatus
Hypanus longus
Isistius brasiliensis
Isurus oxyrinchus
Mobula birostris
Mobula munkiana
Mustelus dorsalis
Mustelus lunulatus
Mustelus mento
Mustelus whitneyi
Myliobatis aquila
Myliobatis peruvianus
Narcine entemedor
Nasolamia velox
Negaprion acutidens
Prionace glauca
Pseudobatos glaucostigmus
Pseudobatos leucorhynchus
Pseudobatos percellens
Pseudobatos planiceps
Pteromylaeus asperrimus
Pteroplatytrygon violacea
Raja velezi
Rajella nigerrima
Rhincodon typus
Rhinoptera steindachneri
Sphyrna lewini
Sphyrna mokarran
Sphyrna tiburo
Sphyrna zygaena
Squatina armata
Taeniura meyeni
Tetronarce peruana
Triaenodon obesus
Triakis acutipinna
Triakis maculata
Urobatis tumbesensis
Urolophus halleri
Urotrygon chilensis
Zapteryx exasperata
Zapteryx xyster
