Aculeola nigra
Bathyraja aguja
Bathyraja brachyurops
Carcharhinus falciformis
Carcharhinus longimanus
Carcharhinus sorrah
Cephalurus cephalus
Dasyatis brevis
Deania calcea
Echinorhinus cookei
Etmopterus granulosus
Galeorhinus galeus
Ginglymostoma cirratum
Gurgesiella furvescens
Gymnura afuerae
Gymnura marmorata
Heterodontus quoyi
Hypanus dipterurus
Mustelus dorsalis
Mustelus henlei
Mustelus lunulatus
Mustelus mento
Mustelus whitneyi
Myliobatis longirostris
Myliobatis peruvianus
Narcine entemedor
Nasolamia velox
Notorynchus cepedianus
Pseudobatos planiceps
Pseudobatos prahli
Pseudocarcharias kamoharai
Pteroplatytrygon violacea
Raja equatorialis
Raja velezi
Rhincodon typus
Rhinoptera steindachneri
Rhizoprionodon longurio
Schroederichthys chilensis
Sphyrna lewini
Sphyrna tiburo
Sphyrna zygaena
Squatina armata
Squatina californica
Sympterygia brevicaudata
Tetronarce tremens
Triakis acutipinna
Triakis maculata
Urobatis tumbesensis
Urotrygon aspidura
Urotrygon caudispinosus
Urotrygon chilensis
Urotrygon munda
Urotrygon peruanus
Urotrygon reticulata
Urotrygon serrula
Zapteryx xyster
