Acanthamunnopsis hystrix
Acantharctus delfini
Acanthocyclus albatrossis
Acanthocyclus gayi
Acanthocyclus hassleri
Acanthonotozomella barnardi
Acanthoserolis schythei
Achelia assimilis
Achelia parvula
Aega magnifica
Aega semicarinata
Aeginoides gaussi
Aegiochus uschakovi
Aegisthus aculeatus
Aegisthus mucronatus
Aetideopsis minor
Aetideopsis multiserrata
Aetideus armatus
Agetus flaccus
Agetus typicus
Alacia alata
Allorostrata ovalis
Allorostrata scutifrons
Amallothrix parafalcifer
Amallothrix polaris
Amallothrix pseudopropinqua
Amallothrix robusta
Amallothrix valida
Amaryllis macrophthalma
Amblyopsoides obtusa
Ammothea dorsiplicata
Ammothea insularis
Ammothea stylirostris
Ampelisca composita
Ampelisca dentifera
Ampelisca gracilicauda
Amphiascoides subdebilis
Amphilochus marionis
Anarthron chilensis
Anarthron dithrix
Anarthron pholion
Anchistrocheles angulata
Anchistylis robusta
Ancorabolus ilvae
Andaniotes linearis
Anoplodactylus californicus
Anoplodactylus vemae
Anthosoma crassum
Anuropus australis
Aora anomala
Aora typica
Apohyale hirtipalma
Archaeocuma peruanum
Archasterope bulla
Archasterope pentathrix
Arietellus mohri
Aristias antarcticus
Arthromysis magellanica
Asconiscus simplex
Atyloella magellanica
Atylus villosus
Austrodecus calcaricauda
Austrodecus curtipes
Austrodecus pushkini
Austromegabalanus psittacus
Austropandalus grayi
Austroregia huxleyana
Austroregia regis
Austrosignum latifrons
Bairdoppilata hirsuta
Balanus flosculoidus
Balanus laevis
Batheuchaeta enormis
Bathycalanus bradyi
Bathycalanus richardi
Bathycalanus unicornis
Bathycuma longicaudatum
Bathycuma vemae
Bathyhalacarus humboldti
Bathyleberis grossmani
Bathyporeiapus magellanicus
Betaeus truncatus
Bircenna fulva
Boreomysis rostrata
Brachiella thynni
Bradycalanus enormis
Bradycalanus typicus
Breviconia australis
Brucerolis bromleyana
Bythocaris nana
Bythopussella aculeata
Calanoides acutus
Calanoides patagoniensis
Calanus chilensis
Calanus propinquus
Calanus simillimus
Calcinus nitidus
Caligus teres
Callipallene margarita
Calocalanus styliremis
Calocarides quinqueseriatus
Campylaspis antarctica
Campylaspis frigida
Campylaspis quadriplicata
Cancer porteri
Candacia bipinnata
Candacia catula
Candacia ethiopica
Candacia longimana
Caprella equilibra
Caprella penantis
Caprella scaura
Caprella ungulina
Caprellinoides mayeri
Caprellinoides tristanensis
Centropages brachiatus
Centropages typicus
Cephalophoxoides kergueleni
Ceratothoa gaudichaudii
Cervimunida johni
Chaceon affinis
Chalaraspidum alatum
Cheirimedon falcata
Chiridius gracilis
Chiridius poppei
Chono angustiarum
Chosroes incisus
Chuneola paradoxa
Cilunculus cactoides
Clausocalanus arcuicornis
Clausocalanus furcatus
Clausocalanus jobei
Cletodes latirostris
Colomastix fissilingua
Colossendeis angusta
Colossendeis colossea
Colossendeis macerrima
Colossendeis media
Conchoderma virgatum
Conchoecetta acuminata
Conchoecetta giesbrechti
Conchoecia parvidentata
Conchoecilla chuni
Conchoecilla daphnoides
Conchoecissa imbricata
Conchoecissa symmetrica
Copidognathus bruuni
Copidognathus posticus
Cornucalanus chelifer
Corycaeus speciosus
Crassicorophium bonellii
Cristaserolis convexa
Cryptobopyrus elongatus
Cryptocisus laevis
Cryptocopoides arcticus
Cryptocotitus acus
Cryptonus truncatus
Cryptopontius tanacredii
Ctenocalanus citer
Ctenocalanus vanus
Curidia magellanica
Cyamus catodontis
Cyclaspis longicaudata
Cymodocella foveolata
Cyphocaris richardi
Cystisoma fabricii
Dendropsyllus magellanicus
Deutella incerta
Deutella vemae
Diastylis planifrons
Dimorphognathia heroae
Dinemoura latifolia
Dinemoura producta
Dioithona oculata
Diplophryxus gargantua
Discoconchoecia elegans
Ditrichocorycaeus amazonicus
Dodecas elongata
Dodecasella elegans
Doloria pectinata
Doloria septenaria
Drepanopus forcipatus
Dromedopycnon acanthus
Drummondia luce
Dynamenella acuticauda
Echthrogaleus coleoptratus
Edotia tuberculata
Elenacalanus eltaninae
Elenacalanus princeps
Elthusa vulgaris
Emerita analoga
Enhydrosoma hopkinsi
Enhydrosoma littorale
Erikus dahli
Eualus dozei
Euaugaptilus bullifer
Euaugaptilus grandicornis
Euaugaptilus hecticus
Euaugaptilus laticeps
Euaugaptilus magnus
Euaugaptilus nodifrons
Euaugaptilus perasetosus
Eucalanus hyalinus
Eucalanus inermis
Euchaeta magniloba
Euchaeta marina
Euchaeta media
Euchaeta spinosa
Euchaetomera tenuis
Euchaetomera zurstrasseni
Euchirella amoena
Euchirella formosa
Euchirella maxima
Euchirella pulchra
Euchirella similis
Euchirella truncata
Eucopia grimaldii
Eucopia unguiculata
Eudactylina tuberifera
Eudevenopus gracilipes
Eudorella gracilior
Eudorella sordida
Euphausia diomedeae
Euphausia frigida
Euphausia gibba
Euphausia gibboides
Euphausia lucens
Euphausia mucronata
Euphausia mutica
Euphausia recurva
Euphausia similis
Euphausia spinifera
Euphausia triacantha
Euphausia vallentini
Eurypodius latreillii
Eurypodius longirostris
Eurythenes gryllus
Eurythenes obesus
Eusiroides monoculoides
Eusirus antarcticus
Euterpina acutifrons
Excirolana chilensis
Exoediceropsis chiltoni
Exosphaeroma gigas
Exosphaeroma studeri
Fuegiphoxus abjectus
Fuegiphoxus fuegiensis
Fuegiphoxus uncinatus
Fultonia bougisi
Fultonia sarsi
Gaetanus brevispinus
Gaetanus kruppii
Gaetanus latifrons
Gaetanus miles
Gaetanus minor
Gaetanus pileatus
Gaetanus robustus
Gaetanus tenuispinus
Galacantha bellis
Gangliopus pyriformis
Gastroptychus hendersoni
Gastroptychus milneedwardsi
Gaussia princeps
Glyphocrangon alata
Glyptolithodes cristatipes
Gondogeneia antarctica
Gondogeneia gracilicauda
Gondogeneia macrodon
Gondogeneia simplex
Gondogeneia thurstoni
Gondogeneia ushuaiae
Goniopsyllus rostratus
Halacarellus bandyi
Halicarcinus planatus
Haliporoides diomedeae
Halocypria globosa
Halocypris inflata
Haloptilus acutifrons
Haloptilus fons
Haloptilus longicornis
Haloptilus ornatus
Haloptilus oxycephalus
Haloptilus spiniceps
Haloschizopera abyssi
Haloschizopera exigua
Hansenomysis falklandica
Haplocheira balssi
Hatschekia affluens
Hatschekia amphiprocessa
Hemilamprops ultimaespei
Hemisquilla ensigera
Heteralepas cornuta
Heterocarpus reedi
Heterophoxus videns
Heteroptilus acutilobus
Heterorhabdus clausi
Heterorhabdus lobatus
Heterorhabdus papilliger
Heterorhabdus prolixus
Heterorhabdus spinifrons
Heterotanoides meridionalis
Holobomolochus chilensis
Holophryxus quadratahumerale
Homasterope micra
Huarpe escofeti
Hyalella chiloensis
Hyperia gaudichaudii
Hyperiella antarctica
Ianiropsis chilensis
Ianiropsis perplexus
Ianthopsis laevis
Iathrippa menziesi
Iathrippa multidens
Iathrippa varians
Igene walleni
Ionella agassizii
Iphimedia multidentata
Ischyrocerus hortator
Ischyromene eatoni
Ischyromene tuberculata
Isocypridina quatuorsetae
Jassa alonsoae
Jassa justi
Jasus frontalis
Joeropsis bidens
Joeropsis curvicornis
Joeropsis intermedius
Kyrtoecia kyrtophora
Landrumius antarcticus
Landrumius gigas
Landrumius insignis
Langitanais willemoesi
Laophontodes typicus
Laophontodes whitsoni
Lebbeus scrippsi
Lembos fuegiensis
Lepechinella auca
Lepeophtheirus chilensis
Lepeophtheirus mugiloidis
Leptochelia antarcticus
Leucothoe spinicarpa
Libidoclaea granaria
Liljeborgia longicornis
Liljeborgia macrodon
Liljeborgia octodentata
Lithodes murrayi
Lithodes santolla
Lophorochinia parabranchia
Lophothrix frontalis
Lophothrix humilifrons
Lophothrix similis
Loricoecia loricata
Lubbockia squillimana
Lucicutia aurita
Lucicutia bicornuta
Lucicutia bradyana
Lucicutia curta
Lucicutia flavicornis
Lucicutia grandis
Lucicutia longiserrata
Lucicutia macrocera
Lucicutia maxima
Lucicutia sarsi
Lucicutia wolfendeni
