Adelascopora secunda
Adeonella fuegensis
Adeonella patagonica
Aetea anguina
Aimulosia antarctica
Aimulosia australis
Alcyonidium australe
Alcyonidium epispiculum
Alcyonidium scolecoideum
Amastigia benemunita
Andreella megapora
Antarctothoa discreta
Arachnopusia discors
Arachnopusia monoceros
Aspidostoma giganteum
Beania fragilis
Beania inermis
Beania magellanica
Beania maxilla
Buffonellodes glabra
Buffonellodes rimosa
Caberea darwinii
Callopora deseadensis
Carbasea ovoidea
Catadysis pygmaeum
Cellaria clavata
Cellaria coronata
Cellaria diversa
Cellaria malvinensis
Cellaria scoresbyi
Cellaria tenuirostris
Cellaria variabilis
Celleporella alia
Celleporella hyalina
Celleporina lacrimula
Chaperiopsis cervicornis
Chaperiopsis galeata
Chaperiopsis propinqua
Chondriovelum angustilobata
Cornucopina ovalis
Ellisina antarctica
Ellisina incrustans
Exochella longirostris
Fenestrulina horrida
Fenestrulina majuscula
Fenestrulina malusii
Foveolaria elliptica
Heteropora chilensis
Hippadenella rouzaudi
Hippothoa divaricata
Lacerna eatoni
Lacerna hosteensis
Melicerita blancoae
Melicerita obliqua
Menipea flagellifera
Menipea patagonica
Micropora brevissima
Micropora notialis
Microporella hyadesi
Microporella personata
Nevianipora milneana
Ogivalia elegans
Ogivalia sagittirostra
Orthoporidra petiolata
Orthoporidroides erectus
Osthimosia bicornis
Osthimosia eatonensis
Osthimosia signata
Parasmittina dubitata
Pseudidmonea fissurata
Pseudidmonea gracilis
Romancheina labiosa
Scruparia ambigua
Scrupocaberea ornithorhyncus
Smittina jullieni
Smittina landsborovii
Smittina lebruni
Smittina leptodentata
Smittina monacha
Smittina sigillata
Smittina smittiana
Smittina undulimargo
Smittoidea bulbosa
Smittoidea pachydermata
Tricellaria aculeata
Tubulipora organisans
