Acanthacaris caeca
Acanthephyra purpurea
Acanthilia intermedia
Acanthocope galatheae
Acantholochus nudiusculus
Acanthonyx petiverii
Achelia sawayai
Achelous binoculus
Achelous floridanus
Achelous iridescens
Achelous ordwayi
Achelous spinicarpus
Achelous spinimanus
Achelous tumidulus
Acrocalanus gracilis
Aetideus armatus
Aetideus giesbrechti
Agaricochirus alexandri
Agaricochirus hispidus
Agolambrus agonus
Agononida longipes
Allosergestes pectinatus
Allosergestes sargassi
Alpheus agrogon
Alpheus armatus
Alpheus armillatus
Alpheus bahamensis
Alpheus floridanus
Alpheus formosus
Alpheus hebes
Alpheus heterochaelis
Alpheus longinquus
Alpheus malleator
Alpheus mazatlanicus
Alpheus normanni
Alpheus panamensis
Alpheus saxidomus
Alpheus simus
Alpheus websteri
Alpheus wickstenae
Amathimysis cherados
Amathimysis polita
Americamysis taironana
Ampelisca schellenbergi
Amphithrax aculeatus
Amphithrax hemphilli
Ampithoe hirsutimanus
Ampithoe marcuzzii
Ampithoe ramondi
Anamixis cavatura
Anamixis hanseni
Anasimus latus
Anchistioides antiguensis
Ancylomenes pedersoni
Anilocra laticauda
Anisopagurus bartletti
Anoplodactylus erectus
Anoplodactylus insignis
Aporobopyrina anomala
Aporobopyrus bonairensis
Aporobopyrus calypso
Aporobopyrus curtatus
Aporobopyrus trilobatus
Arachnopsis filipes
Araphura parabrevimanus
Arenaeus cribrarius
Areopaguristes hummi
Areopaguristes oxyophthalmus
Arietellus giesbrechti
Arietellus plumifer
Aristaeomorpha foliacea
Aristaeopsis edwardsiana
Aristeus antillensis
Ascorhynchus castellioides
Automate evermanni
Axiopsis baronai
Bairdoppilata hirsuta
Balanus trigonus
Batea carinata
Batea cuspidata
Batea schotti
Bathyceradocus stephenseni
Bathyconchoecia diacantha
Bathynarius anomalus
Bathynectes longispina
Bathynomus giganteus
Bathysquilla microps
Batrachonotus fragosus
Belzebub faxoni
Bemlos longicornis
Benthesicymus altus
Benthesicymus bartletti
Benthesicymus tanneri
Bigelowina biminiensis
Brachycarpus biunguiculatus
Calanopia americana
Calappa flammea
Calappa gallus
Calappa sulcata
Calaxius jenneri
Calaxius oxypleura
Calcinus obscurus
Calcinus tibicen
Callidactylus asper
Callinectes arcuatus
Callinectes bocourti
Callinectes danae
Callinectes ornatus
Callinectes sapidus
Callinectes similis
Calocalanus elongatus
Calocalanus gracilis
Calocalanus pavo
Calocalanus pavoninus
Calocalanus plumulosus
Calocalanus styliremis
Cancellus spongicola
Candacia elongata
Candacia varicans
Canthocalanus pauper
Cardobairdia bensoni
Cardomanica longispinata
Caribboecetes justi
Carpias minutus
Centropages bradyi
Centropages furcatus
Cerapus thomasi
Cerataspis monstrosus
Chaceon eldorado
Challengerosergia talismani
Chasmocarcinus chacei
Chasmocarcinus cylindricus
Chasmocarcinus typicus
Chelorchestia colombiensis
Cheramus marginatus
Chlamydopleon dissimile
Chthamalus panamensis
Cirolana parva
Clastotoechus diffractus
Clastotoechus nodosus
Clausocalanus arcuicornis
Clausocalanus furcatus
Clausocalanus paululus
Cletocamptus samariensis
Clibanarius albidigitus
Clibanarius antillensis
Clibanarius tricolor
Clypeasterophilus juvenilis
Clypeasterophilus stebbingi
Clytemnestra scutellata
Collodes robustus
Colomastix janiceae
Colomastix pusilla
Colossendeis angusta
Colossendeis colossea
Colossendeis macerrima
Colossendeis minor
Conaea rapax
Copilia mirabilis
Coralaxius nodulosus
Cornutosergestes cornutus
Coronida glasselli
Corycaeus speciosus
Crangon crangon
Cyclaspis varians
Cymonomoides fitoi
Cymothoa excisa
Cymothoa exigua
Cyphocaris richardi
