Abyla haeckeli
Abylopsis tetragona
Acanthogorgia aspera
Acanthogorgia schrammi
Acanthopathes thyoides
Acropora cervicornis
Acropora palmata
Acropora prolifera
Acropora valida
Acryptolaria conferta
Actinauge longicornis
Agalma elegans
Agaricia agaricites
Agaricia fragilis
Agaricia grahamae
Agaricia humilis
Aglaophenia elongata
Aglaophenia latecarinata
Aglaophenia lophocarpa
Aglaophenia rhynchocarpa
Aglaura hemistoma
Alicia mirabilis
Amphianthus caribaeus
Anomocora fecunda
Anomocora marchadi
Anomocora prolifera
Anthopleura texaensis
Antillogorgia acerosa
Antillogorgia americana
Antillogorgia bipinnata
Antillogorgia elisabethae
Antillogorgia hystrix
Antillogorgia kallos
Antillogorgia rigida
Antipathes atlantica
Antipathes caribbeana
Antipathes furcata
Antipathes gracilis
Antipathes lenta
Aphanipathes salix
Astrangia conferta
Astrangia dentata
Astrangia equatorialis
Astrangia solitaria
Bartholomea annulata
Bassia bassensis
Bathypathes galatheae
Bebryce grandis
Bellonella rubistella
Briareum asbestinum
Caliacis nutans
Calliactis tricolor
Callogorgia gracilis
Calycopsis simulans
Carijoa riisei
Cassiopea frondosa
Chelophyes appendiculata
Chironephthya agassizii
Chrysogorgia desbonni
Chrysogorgia elegans
Chrysogorgia fewkesii
Chrysogorgia spiculosa
Chrysogorgia thyrsiformis
Cladocora arbuscula
Cladocora debilis
Cladopsammia eguchii
Cladopsammia gracilis
Coenocyathus parvulus
Coenosmilia arbuscula
Colangia immersa
Colpophyllia natans
Condylactis gigantea
Corynactis caribbeorum
Culicia rubeola
Cunina globosa
Deltocyathus calcar
Deltocyathus eccentricus
Deltocyathus italicus
Dendrogyra cylindrus
Dendrophyllia californica
Desmophyllum pertusum
Dichocoenia stokesii
Diodogorgia nodulifera
Diphyes bojani
Diphyes chamissonis
Diphyes dispar
Diploria labyrinthiformis
Discosoma carlgreni
Discosoma neglecta
Ectopleura dumortierii
Ectopleura sacculifera
Eguchipsammia cornucopia
Elatopathes abietina
Ellisella elongata
Ellisella schmitti
Enneagonum hyalinum
Erythropodium caribaeorum
Eucheilota menoni
Eudoxoides mitra
Eudoxoides spiralis
Eunicea asperula
Eunicea calyculata
Eunicea clavigera
Eunicea flexuosa
Eunicea fusca
Eunicea knighti
Eunicea laciniata
Eunicea mammosa
Eunicea succinea
Eunicea tourneforti
Eusmilia fastigiata
Favia fragum
Gardineria minor
Gardineroseris planulata
Gorgonia flabellum
Gorgonia ventalina
Guynia annulata
Hebella scandens
Helioseris cucullata
Hypnogorgia pendula
Iciligorgia schrammi
Isaurus tuberculatus
Isoaulactinia stelloides
Isophyllia sinuosa
Javania cailleti
Keratoisis flexibilis
Lafoea dumosa
Larsonia pterophylla
Lebrunia coralligens
Lebrunia neglecta
Leipsiceras pollens
Lensia campanella
Lensia subtilis
Leptogorgia barbadensis
Leptogorgia cardinalis
Leptogorgia medusa
Leptogorgia setacea
Liriope tetraphylla
Lytocarpia tridentata
Lytreia plana
Macrorhynchia allmani
Madracis asperula
Madracis auretenra
Madracis brueggemanni
Madracis decactis
Madracis formosa
Madracis myriaster
Madracis pharensis
Madracis senaria
Madrepora carolina
Madrepora oculata
Manicina areolata
Meandrina meandrites
Millepora alcicornis
Millepora complanata
Millepora squarrosa
Monactis vestita
Montastraea cavernosa
Muricea atlantica
Muricea elongata
Muricea laxa
Muricea muricata
Muricea pendula
Muricea pinnata
Muriceopsis flavida
Muriceopsis sulphurea
Mussa angulosa
Mycetophyllia lamarckiana
Mycetophyllia reesi
Myrionema amboinense
Myriopathes panamensis
Nausithoe aurea
Nausithoe punctata
Nausithoe simplex
Nicella goreaui
Nicella guadalupensis
Nidalia deichmannae
Nidalia dissidens
Nidalia occidentalis
Nidalia rubripunctata
Oculina diffusa
Oculina tenella
Orbicella annularis
Orbicella faveolata
Orbicella franksi
Oulangia bradleyi
Oxysmilia rotundifolia
Palythoa mammillosa
Paracyathus pulchellus
Paramuricea placomus
Parazoanthus swiftii
Pavona clavus
Pavona gigantea
Pavona maldivensis
Pavona varians
Pegantha martagon
Phacelocyathus flos
Phanopathes rigida
Phyllactis praetexta
Phyllangia americana
Phyllangia consagensis
Phyllangia dispersa
Phymanthus crucifer
Placogorgia atlantica
Placogorgia tenuis
Platygyra daedalea
Plexaura homomalla
Plexaura nina
Plexaurella dichotoma
Plexaurella grisea
Plexaurella nutans
Plumapathes pennacea
Plumularia habereri
Pocillopora capitata
Pocillopora damicornis
Pocillopora elegans
Pocillopora grandis
Pocillopora meandrina
Polycyathus hondaensis
Polycyathus isabela
Polycyathus mayae
Polycyathus senegalensis
Polymyces fragilis
Porites astreoides
Porites divaricata
Porites furcata
Porites lichen
Porites lobata
Porites porites
Psammocora stellata
Psammogorgia arbuscula
Psammogorgia teres
Pseudodiploria clivosa
Pseudodiploria strigosa
Pseudoplexaura flagellosa
Pseudoplexaura porosa
Pseudoplexaura wagenaari
Pterogorgia anceps
Pterogorgia citrina
Pterogorgia guadalupensis
Renilla muelleri
Renilla reniformis
Rhizopsammia goesi
Rhizopsammia verrilli
Rhizosmilia maculata
Rhodactis osculifera
Ricordea florida
Riisea paniculata
Schizocyathus fissilis
Scleracis guadaloupensis
Scleracis pumila
Sclerobelemnon theseus
Scolymia lacera
Sertularella polyzonias
Sertularella quadrata
Siderastrea radians
Siderastrea siderea
Solenastrea bournoni
Solenastrea hyades
Sphaerocoryne coccometra
Stephanocoenia intersepta
Stereonephthya portoricensis
Stichodactyla helianthus
Stichopathes filiformis
Stichopathes luetkeni
Stichopathes occidentalis
Stichopathes pourtalesi
Stylaster roseus
Stylatula diadema
Stylopathes americana
Stylopathes columnaris
Swiftia exserta
Synthecium tubithecum
Tanacetipathes barbadensis
Tanacetipathes hirta
Tanacetipathes spinescens
Tanacetipathes tanacetum
Taxipathes recta
Telesto operculata
Telestula tubaria
Telmatactis cricoides
Telmatactis rufa
Tethocyathus prahli
Tethocyathus variabilis
Thalamophyllia riisei
Thelogorgia longiflora
Thelogorgia studeri
Thelogorgia vossi
Thesea bicolor
Thesea nutans
Thesea parviflora
Thesea solitaria
Thyroscyphus marginatus
Tobagogorgia hardyi
Trichogorgia lyra
Tubastraea coccinea
Tubastraea faulkneri
Tubastraea floreana
Tubastraea tagusensis
Umbellula magniflora
Umimayanthus parasiticus
Velella velella
Viatrix globulifera
Villogorgia antillarum
