Abyssorchomene abyssorum
Acetes binghami
Acrocalanus andersoni
Acrocalanus gibber
Acrocalanus longicornis
Acrocalanus monachus
Aega acuminata
Aegisthus spinulosus
Aetideopsis armatus
Aetideus bradyi
Aetideus giesbrechti
Agathotanais hanseni
Agetus flaccus
Alpheus lottini
Alpheus paracrinitus
Alvinocaris lusca
Amallothrix tropica
Amphibalanus amphitrite
Anchylomera blossevillei
Andromastax muricatus
Anoplodactylus prominens
Antarcturus multispinis
Aphantolana costaricensis
Aphotopontius arcuatus
Aphotopontius baculigerus
Aphotopontius limatulus
Aphotopontius mammillatus
Aphotopontius probolus
Apotectonia heterostegos
Arenaeus mexicanus
Argestoides prehensilis
Arietellus setosus
Aristeus semidentatus
Ascorhynchus agassizi
Ascorhynchus comatus
Ascorhynchus laterospinus
Augaptilus longicaudatus
Bacescomysis birsteini
Bacescomysis peruvianus
Bairdoppilata hirsuta
Bemlos achire
Benthesicymus altus
Benthesicymus tanneri
Bythograea galapagensis
Bythograea intermedia
Bythograea microps
Bythograea thermydron
Calanus chilensis
Caligus coryphaenae
Callinectes arcuatus
Calocalanus pavo
Calocalanus styliremis
Camilohelleria manteri
Candacia bispinosa
Candacia catula
Candacia curta
Candacia longimana
Candacia pachydactyla
Candacia simplex
Candacia tenuimana
Candacia truncata
Candacia varicans
Canthocalanus pauper
Centropages calaninus
Centropages elongatus
Centropages furcatus
Centropages velificatus
Centropages violaceus
Ceratothoa gaudichaudii
Ceuthoecetes acanthothrix
Ceuthoecetes aliger
Ceuthoecetes cristatus
Ceuthoecetes introversus
Chaetarcturus abyssicolus
Chelonibia testudinaria
Chirundina streetsii
Chondracanthodes deflexus
Cirolana harfordi
Cirolana namelessensis
Clausocalanus arcuicornis
Clausocalanus farrani
Clausocalanus mastigophorus
Clibanarius albidigitus
Clibanarius lineatus
Colanthura bruscai
Colossendeis macerrima
Colossendeis minor
Conilera bullisi
Copidognathus papillatus
Copilia mirabilis
Copilia quadrata
Copilia vitrea
Coronida schmitti
Corycaeus clausi
Corycaeus crassiusculus
Corycaeus speciosus
Cosmocalanus darwini
Cosmocalanus darwinii
Cyclaspoides bacescui
Cymothoa exigua
Cyproniscus decemspinosus
Cyproniscus peruvicus
Dahlella caldariensis
Dardanus sinistripes
Disseta palumbii
Ditrichocorycaeus erythraeus
Dulzura gal
Ebalia hancocki
Ecbathyrion prolixicauda
Ectaesthesius bifrons
Eiconaxius cristagalli
Elthusa vulgaris
Emerita rathbunae
Ericerodes schmitti
Euaugaptilus hecticus
Eucalanus inermis
Euchaeta acuta
Euchaeta indica
Euchaeta longicornis
Euchaeta marinella
Euchaeta rimana
Euchaeta spinosa
Euchirella bella
Euchirella pulchra
Euchirella venusta
Eucopia sculpticauda
Euphausia diomedeae
Euphausia eximia
Eurycope scabra
Eurydice caudata
Excirolana braziliensis
Fagegnathophausia gracilis
Farranula gibbula
Farranula gracilis
Farranula rostrata
Gaetanus armiger
Gaetanus brevispinus
Gaetanus kruppii
Gaetanus pungens
Galacantha diomedeae
Galathea paucilineata
Gastroptychus defensus
Glyphocrangon vicaria
Gnathia trilobata
Grapsus grapsus
Haloptilus acutifrons
Haloptilus austini
Haloptilus chierchiae
Haloptilus fertilis
Haloptilus longicornis
Haloptilus ornatus
Haloptilus spiniceps
Hansenomysis menziesi
Hansenomysis spenceri
Haploniscus robinsoni
Hemipenaeus spinidorsalis
Hepatella amica
Heterorhabdus papilliger
Heterosquilloides insignis
Hirondellea glutonis
Hyachelia tortugae
Hyalopontius boxshalli
Hymenopenaeus nereus
Hypoconcha panamensis
Idusa carinata
Iridopagurus occidentalis
Labidocera acuta
Labidocera acutifrons
Labidocera detruncata
Lateracanthus quadripedis
Lophothrix frontalis
Lubbockia aculeata
Lucicutia flavicornis
Lucicutia grandis
Lucicutia lucida
Lucicutia magna
Manucomplanus varians
Megabalanus coccopoma
Megabalanus peninsularis
Metapenaeopsis kishinouyei
Metridia venusta
Microsetella rosea
Mothocya arrosor
Munida hispida
Munida mexicana
Munida perlata
Munida propinqua
Munidopsis bairdii
Munidopsis exuta
Munidopsis margarita
Munidopsis mina
Munidopsis modesta
Munidopsis ornata
Munidopsis townsendi
Munnopsis longiremus
Nannocalanus minor
Naobranchia maxima
Nematocarcinus agassizii
Nematocarcinus ensifer
Nematocarcinus faxoni
Neocalanus robustior
Neogonodactylus bahiahondensis
Neogonodactylus oerstedii
Neogonodactylus pumilus
Neosergestes orientalis
Nepanamixis torreanus
Nerocila californica
Nilva torifera
Nyctiphanes simplex
Nymphon simulare
Oithona hebes
Oithona nana
Oithona plumifera
Oithona setigera
Oithona similis
Oncaea mediterranea
Oncaea venusta
Oncopagurus haigae
Onychocorycaeus agilis
Onychocorycaeus catus
Onychocorycaeus giesbrechti
Onychocorycaeus ovalis
Oxycephalus clausi
Pachos punctatum
Pachygrapsus transversus
Panopeus purpureus
Panulirus gracilis
Panulirus inflatus
Panulirus penicillatus
Parabrachiella annulata
Paracalanus aculeatus
Paracalanus parvus
Paradella setosa
Paraeuchaeta antarctica
Paraeuchaeta grandiremis
Paraeuchaeta tumidula
Paranesidea albatrossa
Parapagurus foraminosus
