Abyla trigona
Abylopsis tetragona
Actinauge verrillii
Actinostola callosa
Adamsia involvens
Aeginura grimaldii
Agalma elegans
Aglaophenia struthionides
Aglaura hemistoma
Amphicaryon acaule
Antholoba achates
Anthopleura mariscali
Anthopleura nigrescens
Antipathes virgata
Athorybia rosacea
Bassia bassensis
Bathypathes bayeri
Botruanthus benedeni
Bougainvillia crassa
Bunodosoma grande
Calliactis polypus
Calyptrophora agassizii
Chrysogorgia fruticosa
Chrysopathes formosa
Colobonema sericeum
Concentrotheca vaughani
Crispatotrochus galapagensis
Crypthelia cymas
Crypthelia dactylopoma
Crypthelia eueides
Crypthelia gigantea
Crypthelia glebulenta
Crypthelia lacunosa
Cunina peregrina
Cytaeis vulgaris
Dendrophyllia californica
Dendrophyllia johnsoni
Dendrophyllia oldroydae
Desmophyllum dianthus
Desmophyllum pertusum
Diphyes bojani
Distichopora laevigranulosa
Distichoptilum gracile
Ectopleura sacculifera
Enallopsammia rostrata
Erenna richardi
Errina macrogastra
Eucheilota comata
Eucheilota menoni
Funiculina parkeri
Funiculina quadrangularis
Goniocorella dumosa
Halitholus intermedius
Hippopodius hippopus
Javania borealis
Javania cailleti
Lafoea dumosa
Larsonia pterophylla
Lepidisis evalinae
Lepidopora concatenata
Lepidotheca macropora
Leptogorgia alba
Leptogorgia daniana
Leptogorgia manabiensis
Leuckartiara zacae
Liriope tetraphylla
Lizzia ferrarii
Madracis pharensis
Madrepora oculata
Muricea austera
Muricea fruticosa
Muricea plantaginea
Muricea purpurea
Narella ambigua
Nausithoe punctata
Oculina profunda
Pacifigorgia darwinii
Pavona clavus
Pavona varians
Pegantha martagon
Pegantha triloba
Phyllangia consagensis
Phymactis papillosa
Pocillopora capitata
Pocillopora inflata
Polymyces wellsi
Porpita porpita
Psammocora stellata
Psammogorgia teres
Ptilosarcus undulatus
Rhizophysa filiformis
Rhopalonema velatum
Solmissus marshalli
Solmundella bitentaculata
Sphaerocoryne coccometra
Stenohelia concinna
Stephalia dilata
Stephanauge hyalonematis
Stichopathes euoplos
Stylaster divergens
Stylaster galapagensis
Stylaster marenzelleri
Syndactylactis mammillata
Telmatactis panamensis
Thermopalia taraxaca
Tubastraea coccinea
Tubastraea tagusensis
Victorgorgia argentea
Vogtia spinosa
Zoanthus danae
