Archilina papillosa
Archipelagoplana triplocirro
Austrorhynchus galapagoensis
Bradburia miraculicis
Brunetorhynchus dubius
Byrsophlebs caligulachaena
Carcharodorhynchus arista
Carcharodorhynchus galapagoensis
Carcharodorhynchus longicirrus
Carcharodorhynchus tabulaeferus
Carenscoilia monostyla
Ceratopera axi
Ceratopera paragracilis
Cheliplana barringtonensis
Cheliplana pacifica
Coagulescorhynchus virguladivina
Cryptostiopera cornuta
Djeziraia incana
Duplominona galapagoensis
Duplominona karlingi
Duplominona krameri
Duplominona sieversi
Galapagetula annikae
Galapagoplana bituba
Galapagorhynchus hoxholdi
Graffiellus manusferrea
Haloplanella conversa
Itaipusa biglandula
Itaipusa renei
Kata galapagoensis
Kymocarens proxenetoides
Kymocarens tibialis
Macrostomum astericis
Macrostomum galloprovinciale
Macrostomum ideficis
Macrostomum majesticis
Macrostomum obelicis
Macrostomum prognosticis
Macrostomum troubadicus
Minona fernandinensis
Monocelis galapagoensis
Monocelis oculifera
Myobulla dunata
Myobulla myobulla
Myozona aerumnosa
Myozona psila
Myozonaria ascia
Neokytorhynchus pacificus
Paramyozonaria riegeri
Pararhynchella fusca
Paromalostomum subflavum
Parotoplana turgida
Paulodora asymmetrica
Peraclistus stimula
Philosyrtis santacruzensis
Polystyliphora darwini
Pratoplana ayorae
Promesostoma sartagine
Promesostoma tenebrosum
Ptychopera scutulifera
Pygmorhynchus pygmaeus
Sabulirhynchus axi
Schizochilus bruneti
Schizochilus santacruzensis
Siccomacrostomum triviale
Stilivannuccia hastata
Trigonostomum galapagoensis
Wydula simplex
