Abylopsis tetragona
Acanella chiliensis
Acanthogorgia aspera
Acanthogorgia laxa
Acanthogorgia ridleyi
Actinauge chilensis
Actinauge verrillii
Actinernus elongatus
Actinia mertensii
Actinoscyphia plebeia
Actinostola chilensis
Actinostola crassicornis
Actinothoe lobata
Adelopora pseudothyron
Aequorea forskalea
Agalma elegans
Aglaura hemistoma
Aiptasiomorpha elongata
Alcyonium antarcticum
Alcyonium glaciophilum
Alcyonium haddoni
Alcyonium jorgei
Alcyonium varum
Alcyonium yepayek
Amphianthus lacteus
Amphicaryon acaule
Amphicaryon ernesti
Amphinema rugosum
Amphisbetia furcata
Amphisbetia minima
Amphisbetia operculata
Amphogona apicata
Anemonia alicemartinae
Antholoba achates
Anthomuricea argentea
Anthopleura hermaphroditica
Anthoptilum grandiflorum
Anthosactis excavata
Anthothoe chilensis
Antiparactis lineolata
Antipathes assimilis
Antipathes contorta
Antipathes minor
Antipathes speciosa
Arctapodema ampla
Atolla chuni
Atolla parva
Atolla wyvillei
Aulorchis paradoxa
Bassia bassensis
Bathelia candida
Bathycyathus chilensis
Bathypathes patula
Bathyphellia australis
Bolocera kerguelensis
Bolocera tuediae
Boloceropsis platei
Bougainvillia involuta
Bougainvillia muscoides
Bougainvillia pyramidata
Bunodactis elongata
Bunodactis hermaphroditica
Bunodactis octoradiata
Bunodosoma grande
Cactosoma chilense
Calliactis annulata
Calliactis variegata
Campanularia agas
Campanularia crenata
Candelabrum valdiviensis
Cereus herpetodes
Chondrophellia coronata
Chrysogorgia flexilis
Clytia simplex
Condylanthus magellanicus
Conopora verrucosa
Convexella magelhaenica
Convexella murrayi
Corallimorphus profundus
Corallimorphus rigidus
Cordagalma ordinata
Corymorpha furcata
Corynactis carnea
Corynactis chilensis
Coryne eximia
Crossota brunnea
Crossota rufobrunnea
Crystallophyes amygdalina
Culicia stellata
Cunina peregrina
Dactylanthus antarcticus
Dasystenella acanthina
Deltocyathus parvulus
Desmonema gaudichaudi
Desmophyes villafrancae
Desmophyllum dianthus
Dimophyes arctica
Diphyes bojani
Distichoptilum gracile
Ectopleura dumortierii
Edwardsiella ignota
Enneagonum hyalinum
Epiactis georgiana
Epizoanthus thalamophilus
Errina antarctica
Errina gracilis
Errinopora cestoporina
Errinopsis fenestrata
Eudoxoides spiralis
Euphysa aurata
Filellum serpens
Galatheanthemum profundale
Gonactinia prolifera
Gossea brachymera
Gyractis sesere
Gyrostoma incertum
Halcampa abtaoensis
Halcurias pilatus
Halecium fraseri
Halecium humeriformis
Halecium mediterraneum
Halecium tenellum
Haliclystus antarcticus
Halicreas minimum
Halitrephes maasi
Halopsis ocellata
Halopteris plumosa
Heteropyramis maculata
Hippopodius hippopus
Hormathia castanea
Hormathia pectinata
Hybocodon chilensis
Hybocodon unicus
Hydractinia carica
Incrustatus comauensis
Inferiolabiata labiata
Inferiolabiata lowei
Isoedwardsia ignota
Isoparactis fabiani
Isosicyonis alba
Isotealia antarctica
Javania cailleti
Lafoea dumosa
Leiotealia badia
Lensia ajax
Lensia campanella
Lensia challengeri
Lensia conoidea
Lensia cossack
Lensia fowleri
Lensia hardy
Lensia hostile
Lensia hotspur
Lensia leloupi
Lensia lelouveteau
Lensia meteori
Lensia multicristata
Lensia subtilis
Lepidopora granulosa
Lepidotheca fascicularis
Leptogorgia arbuscula
Leptogorgia purpurea
Leptopenus hypocoelus
Leuckartiara octona
Leuckartiara zacae
Liponema multiporum
Liriope tetraphylla
Madrepora oculata
Metridium dianthus
Muggiaea atlantica
Muriceides obtusa
Muriceides robusta
Nemactis rubus
Neoturris papua
Obelia dichotoma
Octineon chilense
Ophiodiscus annulatus
Ophiodiscus sulcatus
Orthopyxis tincta
Oswaldella herwigi
Oulactis coliumensis
Oulactis concinnata
Paracis alba
Paractis impatiens
Paractis laevis
Paracyathus pulchellus
Paramuricea laxa
Paramuricea ramosa
Parantheopsis cruentata
Parantheopsis ocellata
Paranthus crassus
Paranthus ignotus
Paranthus niveus
Parastenella spinosa
Parathuiaria polycarpa
Parazoanthus elongatus
Peachia chilensis
Pelagia panopyra
Pennaria vitrea
Phellia exlex
Phelliactis pelophila
Phialella quadrata
Phycogorgia fucata
Phymactis clematis
Phymactis papillosa
Phymanthea pluvia
Physalia physalis
Plumapathes fernandezi
Plumarella delicatissima
Plumarella diadema
Podocoryna borealis
Polyopis striata
Porites lobata
Praya dubia
Primnoeides kuekenthali
Primnoella chilensis
Primnoella scotiae
Proboscidactyla mutabilis
Proboscidactyla ornata
Proboscidactyla stellata
Pseudoparactis tenuicollis
Pyrostephos vanhoeffeni
Renilla muelleri
Rhizophysa eysenhardtii
Rhopalonema velatum
Rosacea cymbiformis
Rosacea plicata
Sagartia nymphaea
Scolanthus intermedius
Sertularella gaudichaudi
Sertularella geodiae
Sertularella mediterranea
Sertularella mixta
Sertularella polyzonias
Sertularia distans
Sminthea eurygaster
Solenosmilia variabilis
Solmaris rhodoloma
Solmissus marshalli
Solmundella bitentaculata
Sphaerocoryne coccometra
Sphaeronectes fragilis
Sphaeronectes gamulini
Sphaeronectes irregularis
Sphaeronectes koellikeri
Sphenotrochus intermedius
Stachyptilum superbum
Stauridiosarsia ophiogaster
Staurotheca jaederholmi
Stephanauge nexilis
Stylaster densicaulis
Stylaster marenzelleri
Stylaster profundus
Sulculeolaria chuni
Sulculeolaria quadrivalvis
Symplectoscyphus johnstoni
Symplectoscyphus patagonicus
Symplectoscyphus tricuspidatus
Synthecium protectum
Telmatactis panamensis
Tethocyathus endesa
Tetraplatia chuni
Truncatoflabellum truncum
Tylopathes crispa
Velella velella
Victorgorgia argentea
Vogtia pentacantha
Vogtia spinosa
Zanclonia weldoni
Zoanthus danae
