Alciopina paumotanus
Alomasoma belyaevi
Alomasoma chaetiferum
Aphrodita defendens
Aphrodita japonica
Aphrodita magellanica
Aphrodita mexicana
Boccardia polybranchia
Chone duneri
Eunice websteri
Eusyllis liniata
Exogone multisetosa
Hyalinoecia tubicola
Hydroides inermis
Kirkegaardia araiotrachela
Kirkegaardia jumarsi
Krohnia lepidota
Laomedora fusifera
Lepidasthenia natans
Lopadorrhynchus brevis
Lopadorrhynchus uncinatus
Maupasia coeca
Myrianida paredesi
Nereis splendida
Nicon peruviana
Owenia fusiformis
Pelagobia longicirrata
Phalacrophorus pictus
Phalacrophorus uniformis
Phragmatopoma virgini
Platynereis polyscalma
Plotohelmis alata
Plotohelmis capitata
Plotohelmis tenuis
Podarmus ploa
Pontodora pelagica
Protoariciella uncinata
Protobonellia mitsukurii
Pseudoikedella achaeta
Pseudonereis gallapagensis
Pseudonereis variegata
Pseudovermilia occidentalis
Rhynchonereella angelini
Rhynchonereella moebii
Rhynchonereella petersii
Sagitella kowalewskii
Scalibregmides peruanus
Scoloplos acutus
Sphaerosyllis parapionosylliiformis
Spiophanes similis
Sternaspis maureri
Syllis magdalena
Tomopteris cavallii
Torbenwolffia galatheae
Travisia profundi
Travisia tincta
Travisiopsis coniceps
Travisiopsis lobifera
Typhloscolex muelleri
Vermiliopsis annulata
Vitjazema ultraabyssalis
