Arctocephalus galapagoensis
Balaenoptera acutorostrata
Balaenoptera edeni
Balaenoptera musculus
Delphinus delphis
Eumetopias jubatus
Feresa attenuata
Globicephala macrorhynchus
Grampus griseus
Indopacetus pacificus
Kogia sima
Lagenodelphis hosei
Megaptera novaeangliae
Mesoplodon densirostris
Mesoplodon peruvianus
Mirounga leonina
Orcinus orca
Otaria flavescens
Peponocephala electra
Physeter macrocephalus
Pseudorca crassidens
Stenella attenuata
Stenella coeruleoalba
Stenella longirostris
Steno bredanensis
Tursiops truncatus
Zalophus californianus
Zalophus wollebaeki
Ziphius cavirostris
