valid_name,region,subgroup,group
Abyssoninoe abyssorum,Chile,Annelida,Invertebrate
Aglaophamus foliosus,Chile,Annelida,Invertebrate
Aglaophamus macroura,Chile,Annelida,Invertebrate
Aglaophamus peruana,Chile,Annelida,Invertebrate
Aglaophamus posterobranchus,Chile,Annelida,Invertebrate
Aglaophamus trissophyllus,Chile,Annelida,Invertebrate
Alciopina paumotanus,Chile,Annelida,Invertebrate
Alomasoma belyaevi,Chile,Annelida,Invertebrate
Alomasoma chaetiferum,Chile,Annelida,Invertebrate
Ampharete elongata,Chile,Annelida,Invertebrate
Amphitrite kerguelensis,Chile,Annelida,Invertebrate
Amphitrite marchilensis,Chile,Annelida,Invertebrate
Amphitritides pectinobranchiata,Chile,Annelida,Invertebrate
Anchinothria pycnobranchiata,Chile,Annelida,Invertebrate
Ancistrosyllis groenlandica,Chile,Annelida,Invertebrate
Anguillosyllis palpata,Chile,Annelida,Invertebrate
Anobothrus antarctica,Chile,Annelida,Invertebrate
Anobothrus glandularis,Chile,Annelida,Invertebrate
Anoplosyllis sexoculata,Chile,Annelida,Invertebrate
Antonbruunia gerdesi,Chile,Annelida,Invertebrate
Aphelochaeta marioni,Chile,Annelida,Invertebrate
Aphelochaeta monilaris,Chile,Annelida,Invertebrate
Aphelochaeta multifilis,Chile,Annelida,Invertebrate
Aphrodita bisetosa,Chile,Annelida,Invertebrate
Aphrodita magellanica,Chile,Annelida,Invertebrate
Arabella protomutans,Chile,Annelida,Invertebrate
Archinome rosacea,Chile,Annelida,Invertebrate
Aricidea pigmentata,Chile,Annelida,Invertebrate
Aricidea uschakowi,Chile,Annelida,Invertebrate
Artacama valparaisiensis,Chile,Annelida,Invertebrate
Asychis amphiglyptus,Chile,Annelida,Invertebrate
Augeneria tentaculata,Chile,Annelida,Invertebrate
Australonuphis violacea,Chile,Annelida,Invertebrate
Austrobdella coliumicus,Chile,Annelida,Invertebrate
Austrolaenilla antarctica,Chile,Annelida,Invertebrate
Austrolaenilla hastulifera,Chile,Annelida,Invertebrate
Autolytus simplex,Chile,Annelida,Invertebrate
Boccardia polybranchia,Chile,Annelida,Invertebrate
Boccardia tricuspa,Chile,Annelida,Invertebrate
Branchamphinome antarctica,Chile,Annelida,Invertebrate
Branchipolynoe symmytilida,Chile,Annelida,Invertebrate
Califia chilensis,Chile,Annelida,Invertebrate
Capitella capitata,Chile,Annelida,Invertebrate
Carazziella carrascoi,Chile,Annelida,Invertebrate
Caulleriella alata,Chile,Annelida,Invertebrate
Ceratocephale loveni,Chile,Annelida,Invertebrate
Chaetopterus variopedatus,Chile,Annelida,Invertebrate
Chaetozone setosa,Chile,Annelida,Invertebrate
Cirratulus cirratus,Chile,Annelida,Invertebrate
Cirratulus patagonicus,Chile,Annelida,Invertebrate
Cirrophorus longifurcatus,Chile,Annelida,Invertebrate
Cistenides ehlersi,Chile,Annelida,Invertebrate
Cossura abyssalis,Chile,Annelida,Invertebrate
Cossura alba,Chile,Annelida,Invertebrate
Cossura chilensis,Chile,Annelida,Invertebrate
Dipolydora armata,Chile,Annelida,Invertebrate
Dipolydora giardi,Chile,Annelida,Invertebrate
Dipolydora huelma,Chile,Annelida,Invertebrate
Dipolydora magellanica,Chile,Annelida,Invertebrate
Dipolydora socialis,Chile,Annelida,Invertebrate
Drieschia nans,Chile,Annelida,Invertebrate
Drilonereis viborita,Chile,Annelida,Invertebrate
Eranno bifrons,Chile,Annelida,Invertebrate
Erinaceusyllis carrascoi,Chile,Annelida,Invertebrate
Erinaceusyllis subterranea,Chile,Annelida,Invertebrate
Eteone sculpta,Chile,Annelida,Invertebrate
Eulagisca gigantea,Chile,Annelida,Invertebrate
Eunereis patagonica,Chile,Annelida,Invertebrate
Eunice frauenfeldi,Chile,Annelida,Invertebrate
Eunice pennata,Chile,Annelida,Invertebrate
Euphrosine armadilloides,Chile,Annelida,Invertebrate
Euphrosine notialis,Chile,Annelida,Invertebrate
Euphrosinella cirratoformis,Chile,Annelida,Invertebrate
Euphrosinopsis antarctica,Chile,Annelida,Invertebrate
Eusyllis nuchalata,Chile,Annelida,Invertebrate
Exogone heterosetosa,Chile,Annelida,Invertebrate
Exogone homosetosa,Chile,Annelida,Invertebrate
Exogone yagan,Chile,Annelida,Invertebrate
Fauveliopsis challengeriae,Chile,Annelida,Invertebrate
Flabelligella papillata,Chile,Annelida,Invertebrate
Flabelligera induta,Chile,Annelida,Invertebrate
Flota flabelligera,Chile,Annelida,Invertebrate
Genetyllis polyphylla,Chile,Annelida,Invertebrate
Glycera americana,Chile,Annelida,Invertebrate
Glycera capitata,Chile,Annelida,Invertebrate
Glycinde armata,Chile,Annelida,Invertebrate
Goniada uncinigera,Chile,Annelida,Invertebrate
Grania hinojosai,Chile,Annelida,Invertebrate
Gymnonereis fauveli,Chile,Annelida,Invertebrate
Halosydna patagonica,Chile,Annelida,Invertebrate
Harmothoe campoglacialis,Chile,Annelida,Invertebrate
Harmothoe ciliata,Chile,Annelida,Invertebrate
Harmothoe commensalis,Chile,Annelida,Invertebrate
Harmothoe exanthema,Chile,Annelida,Invertebrate
Harmothoe magellanica,Chile,Annelida,Invertebrate
Harmothoe spinosa,Chile,Annelida,Invertebrate
Hemipodia simplex,Chile,Annelida,Invertebrate
Hermadion magalhaensi,Chile,Annelida,Invertebrate
Hyalinoecia araucana,Chile,Annelida,Invertebrate
Hyalinoecia artifex,Chile,Annelida,Invertebrate
Hyalinoecia tubicola,Chile,Annelida,Invertebrate
Hyalopomatus nigropileatus,Chile,Annelida,Invertebrate
Hydroides chilensis,Chile,Annelida,Invertebrate
Isolda viridis,Chile,Annelida,Invertebrate
Kinbergonuphis notialis,Chile,Annelida,Invertebrate
Kirkegaardia antonbruunae,Chile,Annelida,Invertebrate
Kirkegaardia chilensis,Chile,Annelida,Invertebrate
Krohnia lepidota,Chile,Annelida,Invertebrate
Laetmonice producta,Chile,Annelida,Invertebrate
Lamispina chilensis,Chile,Annelida,Invertebrate
Laonice cirrata,Chile,Annelida,Invertebrate
Laonice weddellia,Chile,Annelida,Invertebrate
Laubieriopsis brevis,Chile,Annelida,Invertebrate
Laubierpholoe antipoda,Chile,Annelida,Invertebrate
Leanira quatrefagesi,Chile,Annelida,Invertebrate
Leitoscoloplos chilensis,Chile,Annelida,Invertebrate
Leitoscoloplos kerguelensis,Chile,Annelida,Invertebrate
Leitoscoloplos pugettensis,Chile,Annelida,Invertebrate
Leodamas marginatus,Chile,Annelida,Invertebrate
Leodice antennata,Chile,Annelida,Invertebrate
Lepidasthenia gigas,Chile,Annelida,Invertebrate
Lepidonotus furcillatus,Chile,Annelida,Invertebrate
Levinsenia gracilis,Chile,Annelida,Invertebrate
Levinsenia oculata,Chile,Annelida,Invertebrate
Linopherus annulata,Chile,Annelida,Invertebrate
Lopadorrhynchus brevis,Chile,Annelida,Invertebrate
Lumbrineris bifilaris,Chile,Annelida,Invertebrate
Lumbrineris chilensis,Chile,Annelida,Invertebrate
Lumbrineris cingulata,Chile,Annelida,Invertebrate
Lumbrineris kerguelensis,Chile,Annelida,Invertebrate
Lumbrineris magalhaensis,Chile,Annelida,Invertebrate
Lumbrineris tetraura,Chile,Annelida,Invertebrate
Lysilla laeviseta,Chile,Annelida,Invertebrate
Macellicephala nationalis,Chile,Annelida,Invertebrate
Magelona phyllisae,Chile,Annelida,Invertebrate
Maldane sarsi,Chile,Annelida,Invertebrate
Maupasia coeca,Chile,Annelida,Invertebrate
Mediomastus branchiferus,Chile,Annelida,Invertebrate
Melinna cristata,Chile,Annelida,Invertebrate
Naiades cantrainii,Chile,Annelida,Invertebrate
Neanthes kerguelensis,Chile,Annelida,Invertebrate
Neoleanira magellanica,Chile,Annelida,Invertebrate
Neoleprea streptochaeta,Chile,Annelida,Invertebrate
Neopolynoe antarctica,Chile,Annelida,Invertebrate
Nephtys ferruginea,Chile,Annelida,Invertebrate
Nephtys imbricata,Chile,Annelida,Invertebrate
Nephtys paradoxa,Chile,Annelida,Invertebrate
Nereis dorsolobata,Chile,Annelida,Invertebrate
Nereis pelagica,Chile,Annelida,Invertebrate
Nicolea chilensis,Chile,Annelida,Invertebrate
Nicolea lobulata,Chile,Annelida,Invertebrate
Nicon maculata,Chile,Annelida,Invertebrate
Ninoe falklandica,Chile,Annelida,Invertebrate
Ninoe leptognatha,Chile,Annelida,Invertebrate
Notaulax phaeotaenia,Chile,Annelida,Invertebrate
Nothria anoculata,Chile,Annelida,Invertebrate
Nothria conchylega,Chile,Annelida,Invertebrate
Notocirrus lorum,Chile,Annelida,Invertebrate
Notomastus chilensis,Chile,Annelida,Invertebrate
Notomastus latericeus,Chile,Annelida,Invertebrate
Odontosyllis magnanuchalata,Chile,Annelida,Invertebrate
Onuphis holobranchiata,Chile,Annelida,Invertebrate
Onuphis iridescens,Chile,Annelida,Invertebrate
Onuphis pseudoiridescens,Chile,Annelida,Invertebrate
Ophelia bipartita,Chile,Annelida,Invertebrate
Ophelina breviata,Chile,Annelida,Invertebrate
Ophelina delapidans,Chile,Annelida,Invertebrate
Ophryotrocha claparedei,Chile,Annelida,Invertebrate
Orbiniella branchiata,Chile,Annelida,Invertebrate
Palola siciliensis,Chile,Annelida,Invertebrate
Paracapitella pettiboneae,Chile,Annelida,Invertebrate
Paradiopatra ehlersi,Chile,Annelida,Invertebrate
Paraehlersia kawesqar,Chile,Annelida,Invertebrate
Paramphinome australis,Chile,Annelida,Invertebrate
Paraninoe antarctica,Chile,Annelida,Invertebrate
Paraprionospio pinnata,Chile,Annelida,Invertebrate
Paratyposyllis paurocirrata,Chile,Annelida,Invertebrate
Pareurythoe chilensis,Chile,Annelida,Invertebrate
Parexogone parahebes,Chile,Annelida,Invertebrate
Pelagobia longicirrata,Chile,Annelida,Invertebrate
Perinereis gualpensis,Chile,Annelida,Invertebrate
Petta assimilis,Chile,Annelida,Invertebrate
Pholoe polymorpha,Chile,Annelida,Invertebrate
Phragmatopoma virgini,Chile,Annelida,Invertebrate
Phyllochaetopterus monroi,Chile,Annelida,Invertebrate
Phyllodoce basalis,Chile,Annelida,Invertebrate
Phyllodoce truncata,Chile,Annelida,Invertebrate
Pilargis rozbaczyloi,Chile,Annelida,Invertebrate
Pionosyllis kerguelensis,Chile,Annelida,Invertebrate
Pionosyllis longisetosa,Chile,Annelida,Invertebrate
Pista brevibranchiata,Chile,Annelida,Invertebrate
Pista breviuncinata,Chile,Annelida,Invertebrate
Pista cristata,Chile,Annelida,Invertebrate
Pista parapacifica,Chile,Annelida,Invertebrate
Platynereis magalhaensis,Chile,Annelida,Invertebrate
Podarmus ploa,Chile,Annelida,Invertebrate
Polycirrus hesslei,Chile,Annelida,Invertebrate
Polycirrus plumosus,Chile,Annelida,Invertebrate
Polydora hoplura,Chile,Annelida,Invertebrate
Polydora rickettsi,Chile,Annelida,Invertebrate
Polyeunoa laevis,Chile,Annelida,Invertebrate
Potamilla antarctica,Chile,Annelida,Invertebrate
Prionospio ehlersi,Chile,Annelida,Invertebrate
Prionospio patagonica,Chile,Annelida,Invertebrate
Prionospio peruana,Chile,Annelida,Invertebrate
Prionospio pygmaeus,Chile,Annelida,Invertebrate
Prionospio steenstrupi,Chile,Annelida,Invertebrate
Proscoloplos confusus,Chile,Annelida,Invertebrate
Prosphaerosyllis brandhorsti,Chile,Annelida,Invertebrate
Protoariciella heterosetosa,Chile,Annelida,Invertebrate
Protoariciella parauncinata,Chile,Annelida,Invertebrate
Protobonellia mitsukurii,Chile,Annelida,Invertebrate
Psamathe fusca,Chile,Annelida,Invertebrate
Pseudexogone backstromi,Chile,Annelida,Invertebrate
Pseudovermilia occidentalis,Chile,Annelida,Invertebrate
Rhynchonereella gracilis,Chile,Annelida,Invertebrate
Rhynchonereella petersii,Chile,Annelida,Invertebrate
Romanchella pustulata,Chile,Annelida,Invertebrate
Sagitella kowalewskii,Chile,Annelida,Invertebrate
Salmacina falklandica,Chile,Annelida,Invertebrate
Scalibregma inflatum,Chile,Annelida,Invertebrate
Scalibregmides chilensis,Chile,Annelida,Invertebrate
Scolelepis quinquedentata,Chile,Annelida,Invertebrate
Serpula narconensis,Chile,Annelida,Invertebrate
Shinkai robusta,Chile,Annelida,Invertebrate
Sigambra bassi,Chile,Annelida,Invertebrate
Sigambra tentaculata,Chile,Annelida,Invertebrate
Sphaerodoropsis parva,Chile,Annelida,Invertebrate
Sphaerosyllis dubiosa,Chile,Annelida,Invertebrate
Sphaerosyllis hirsuta,Chile,Annelida,Invertebrate
Spiophanes bombyx,Chile,Annelida,Invertebrate
Spiophanes duplex,Chile,Annelida,Invertebrate
Spiophanes kroyeri,Chile,Annelida,Invertebrate
Spirobranchus minutus,Chile,Annelida,Invertebrate
Spirobranchus triqueter,Chile,Annelida,Invertebrate
Sternaspis chilensis,Chile,Annelida,Invertebrate
Sternaspis scutata,Chile,Annelida,Invertebrate
Stibarobdella moorei,Chile,Annelida,Invertebrate
Syllis albae,Chile,Annelida,Invertebrate
Syllis anoculata,Chile,Annelida,Invertebrate
Syllis armillaris,Chile,Annelida,Invertebrate
Syllis hyalina,Chile,Annelida,Invertebrate
Syllis luteoides,Chile,Annelida,Invertebrate
Syllis magdalena,Chile,Annelida,Invertebrate
Syllis tamarae,Chile,Annelida,Invertebrate
Syllis tripantu,Chile,Annelida,Invertebrate
Syllis truncata,Chile,Annelida,Invertebrate
Terebella ehlersi,Chile,Annelida,Invertebrate
Terebellides bisetosa,Chile,Annelida,Invertebrate
Thelepus setosus,Chile,Annelida,Invertebrate
Thormora versicolor,Chile,Annelida,Invertebrate
Tomopteris nisseni,Chile,Annelida,Invertebrate
Tomopteris planktonis,Chile,Annelida,Invertebrate
Tomopteris septentrionalis,Chile,Annelida,Invertebrate
Trachelobdella lubrica,Chile,Annelida,Invertebrate
Travisia antarctica,Chile,Annelida,Invertebrate
Travisia kerguelensis,Chile,Annelida,Invertebrate
Travisia olens,Chile,Annelida,Invertebrate
Travisiopsis coniceps,Chile,Annelida,Invertebrate
Travisiopsis levinseni,Chile,Annelida,Invertebrate
Trichobranchus alatus,Chile,Annelida,Invertebrate
Trophoniella chilensis,Chile,Annelida,Invertebrate
Trypanosyllis kalkin,Chile,Annelida,Invertebrate
Trypanosyllis parazebra,Chile,Annelida,Invertebrate
Typhloscolex muelleri,Chile,Annelida,Invertebrate
Typosyllis valida,Chile,Annelida,Invertebrate
Vanadis formosa,Chile,Annelida,Invertebrate
Vanadis minuta,Chile,Annelida,Invertebrate
Acanthamunnopsis hystrix,Chile,Arthropoda,Invertebrate
Acantharctus delfini,Chile,Arthropoda,Invertebrate
Acanthocyclus albatrossis,Chile,Arthropoda,Invertebrate
Acanthocyclus gayi,Chile,Arthropoda,Invertebrate
Acanthocyclus hassleri,Chile,Arthropoda,Invertebrate
Acanthonotozomella barnardi,Chile,Arthropoda,Invertebrate
Acanthoserolis schythei,Chile,Arthropoda,Invertebrate
Achelia assimilis,Chile,Arthropoda,Invertebrate
Achelia parvula,Chile,Arthropoda,Invertebrate
Aega magnifica,Chile,Arthropoda,Invertebrate
Aega semicarinata,Chile,Arthropoda,Invertebrate
Aeginoides gaussi,Chile,Arthropoda,Invertebrate
