Group	Species	Classification	sppsOnBins	N	N_Institutes	taxIDs	BINs	Phylum	Order	Family	Genus
Actinopterygii	Ablennes hians	C	Ablennes hians	14	6	13055	BOLD:AAB9824,BOLD:AAC1231,BOLD:AAC1232,BOLD:AAH7716	Chordata	Beloniformes	Belonidae	Ablennes
Actinopterygii	Abudefduf concolor	D		3	1	11481		Chordata	Perciformes	Pomacentridae	Abudefduf
Actinopterygii	Abudefduf saxatilis	E**	Abudefduf taurus,Abudefduf saxatilis	58	7	34219	BOLD:AAA7276,BOLD:AAA7275	Chordata	Perciformes	Pomacentridae	Abudefduf
Actinopterygii	Abudefduf taurus	E*	Abudefduf taurus,Abudefduf saxatilis	9	3	60120	BOLD:AAA7276	Chordata	Perciformes	Pomacentridae	Abudefduf
Actinopterygii	Abudefduf troschelii	D	Abudefduf troschelii	3	1	11480	BOLD:AAC8011	Chordata	Perciformes	Pomacentridae	Abudefduf
Actinopterygii	Acanthemblemaria balanorum	D	Acanthemblemaria balanorum	1	1	374819	BOLD:ABU5784	Chordata	Perciformes	Chaenopsidae	Acanthemblemaria
Actinopterygii	Acanthemblemaria castroi	D	Acanthemblemaria castroi	1	1	175464	BOLD:AAJ3429	Chordata	Perciformes	Chaenopsidae	Acanthemblemaria
Actinopterygii	Acanthemblemaria exilispinus	D		3	1	18107		Chordata	Perciformes	Chaenopsidae	Acanthemblemaria
Actinopterygii	Acanthemblemaria hancocki	D		2	1	18109		Chordata	Perciformes	Chaenopsidae	Acanthemblemaria
Actinopterygii	Acanthistius pictus	D	Acanthistius pictus	1	1	371506	BOLD:ADF3511	Chordata	Perciformes	Serranidae	Acanthistius
Actinopterygii	Acanthocybium solandri	A	Acanthocybium solandri	40	10	11614	BOLD:AAA7855	Chordata	Perciformes	Scombridae	Acanthocybium
Actinopterygii	Acanthonus armatus	D	Acanthonus armatus	2	2	203139	BOLD:AAJ4025	Chordata	Ophidiiformes	Ophidiidae	Acanthonus
Actinopterygii	Acanthurus chirurgus	A	Acanthurus chirurgus	38	6	23580	BOLD:AAB0262	Chordata	Perciformes	Acanthuridae	Acanthurus
Actinopterygii	Acanthurus coeruleus	A	Acanthurus coeruleus	39	6	47282	BOLD:AAA9315	Chordata	Perciformes	Acanthuridae	Acanthurus
Actinopterygii	Acanthurus leucopareius	B	Acanthurus leucopareius	6	1	495631	BOLD:ACC0564	Chordata	Perciformes	Acanthuridae	Acanthurus
Actinopterygii	Acanthurus nigricans	E**	Acanthurus nigricans,Acanthurus japonicus,Acanthurus leucosternon,Paracanthurus hepatus	18	7	64431	BOLD:AAB7142,BOLD:ACE9749	Chordata	Perciformes	Acanthuridae	Acanthurus
Actinopterygii	Acanthurus triostegus	A	Acanthurus triostegus	77	16	10789	BOLD:AAA9362	Chordata	Perciformes	Acanthuridae	Acanthurus
Actinopterygii	Acanthurus xanthopterus	E**	Acanthurus dussumieri,Acanthurus xanthopterus	22	13	11589	BOLD:AAC6467,BOLD:ACC0834	Chordata	Perciformes	Acanthuridae	Acanthurus
Actinopterygii	Albula esuncula	C	Albula esuncula	4	1	273442	BOLD:AAF1162,BOLD:AAA3538	Chordata	Albuliformes	Albulidae	Albula
Actinopterygii	Albula vulpes	C	Albula vulpes	128	5	10470	BOLD:AAA3090,BOLD:AAA3089	Chordata	Albuliformes	Albulidae	Albula
Actinopterygii	Aldrovandia phalacra	E**	Halosauropsis macrochir,Aldrovandia phalacra	13	4	59405	BOLD:AAC1118,BOLD:AAU2077	Chordata	Notacanthiformes	Halosauridae	Aldrovandia
Actinopterygii	Alectis ciliaris	A	Alectis ciliaris	32	6	316965	BOLD:AAB7826	Chordata	Perciformes	Carangidae	Alectis
Actinopterygii	Alepisaurus brevirostris	D	Alepisaurus ferox,Alepisaurus brevirostris	3	3	56059	BOLD:AAC5236	Chordata	Aulopiformes	Alepisauridae	Alepisaurus
Actinopterygii	Alepisaurus ferox	E**	Alepisaurus brevirostris,Alepisaurus ferox	11	7	56035	BOLD:AAC5236,BOLD:AAC5235	Chordata	Aulopiformes	Alepisauridae	Alepisaurus
Actinopterygii	Alepocephalus owstoni	E**	Alepocephalus antipodianus,Alepocephalus owstoni	4	3	59393	BOLD:AAE5823,BOLD:AAC1246,BOLD:AAE5822,BOLD:ABX5804	Chordata	Osmeriformes	Alepocephalidae	Alepocephalus
Actinopterygii	Alepocephalus tenebrosus	C	Alepocephalus tenebrosus	39	6	30297	BOLD:AAC7021,BOLD:ADC8375	Chordata	Osmeriformes	Alepocephalidae	Alepocephalus
Actinopterygii	Alphestes afer	A	Alphestes afer	4	2	250247	BOLD:AAR3631	Chordata	Perciformes	Serranidae	Alphestes
Actinopterygii	Alphestes immaculatus	D	Alphestes immaculatus	2	1	33845	BOLD:AAJ2168	Chordata	Perciformes	Serranidae	Alphestes
Actinopterygii	Alphestes multiguttatus	D		11	7	11644		Chordata	Perciformes	Serranidae	Alphestes
Actinopterygii	Aluterus monoceros	A	Aluterus monoceros	19	4	72426	BOLD:AAB8882	Chordata	Tetraodontiformes	Monacanthidae	Aluterus
Actinopterygii	Aluterus scriptus	A	Aluterus scriptus	10	7	86772	BOLD:AAD0081	Chordata	Tetraodontiformes	Monacanthidae	Aluterus
Actinopterygii	Ameiurus nebulosus	E*	Ameiurus melas,Ameiurus nebulosus	39	8	50236	BOLD:AAA7255	Chordata	Siluriformes	Ictaluridae	Ameiurus
Actinopterygii	Amphiarius rugispinis	D	Amphiarius rugispinis	1	1	714554	BOLD:AAX5633	Chordata	Siluriformes	Ariidae	Amphiarius
Actinopterygii	Anampses caeruleopunctatus	E*	Anampses caeruleopunctatus,Anampses lennardi	31	10	18695	BOLD:AAB9969	Chordata	Perciformes	Labridae	Anampses
Actinopterygii	Anampses femininus	D		3	2	501306		Chordata	Perciformes	Labridae	Anampses
Actinopterygii	Anampses meleagrides	A	Anampses meleagrides	7	2	78476	BOLD:AAB9954	Chordata	Perciformes	Labridae	Anampses
Actinopterygii	Anchoa lucida	D		1	1	299702		Chordata	Clupeiformes	Engraulidae	Anchoa
Actinopterygii	Anchoa mundeola	F		0	0	681718		Chordata	Clupeiformes	Engraulidae	Anchoa
Actinopterygii	Anchoa nasus	D	Anchoa nasus	1	1	166185	BOLD:ADE4574	Chordata	Clupeiformes	Engraulidae	Anchoa
Actinopterygii	Anchoa walkeri	F		0	0	681719		Chordata	Clupeiformes	Engraulidae	Anchoa
Actinopterygii	Anguilla marmorata	E**	Anguilla marmorata,Anguilla anguilla	11	5	27615	BOLD:ADR8380,BOLD:AAD2092	Chordata	Anguilliformes	Anguillidae	Anguilla
Actinopterygii	Anisotremus caesius	D		2	1	509788		Chordata	Perciformes	Haemulidae	Anisotremus
Actinopterygii	Anisotremus interruptus	D	Anisotremus interruptus	1	1	18653	BOLD:ABY7907,BOLD:AAD4128	Chordata	Perciformes	Haemulidae	Anisotremus
Actinopterygii	Anisotremus scapularis	A	Anisotremus scapularis	7	3	369856	BOLD:ACB9888	Chordata	Perciformes	Haemulidae	Anisotremus
Actinopterygii	Anisotremus surinamensis	E**	Anisotremus virginicus,Anisotremus surinamensis	6	4	60121	BOLD:ABY7079,BOLD:AAC4096	Chordata	Perciformes	Haemulidae	Anisotremus
Actinopterygii	Anisotremus taeniatus	D	Anisotremus taeniatus	1	1	34527	BOLD:ACF1328	Chordata	Perciformes	Haemulidae	Anisotremus
Actinopterygii	Anoplogaster cornuta	A	Anoplogaster cornuta	24	8	28698	BOLD:AAB6136	Chordata	Beryciformes	Anoplogastridae	Anoplogaster
Actinopterygii	Antennarius commerson	D	Antennarius commerson	2	2	47243	BOLD:AAR3313	Chordata	Lophiiformes	Antennariidae	Antennarius
Actinopterygii	Antennatus sanguineus	D		4	1	503511		Chordata	Lophiiformes	Antennariidae	Antennatus
Actinopterygii	Antimora rostrata	E*	Antimora rostrata,Antimora microlepis	49	11	54209	BOLD:AAA8883	Chordata	Gadiformes	Moridae	Antimora
Actinopterygii	Aphareus furca	E**	Aphareus rutilans,Aphareus furca,Etelis carbunculus	11	4	34651	BOLD:AAB7244,BOLD:AAB4097	Chordata	Perciformes	Lutjanidae	Aphareus
Actinopterygii	Aphos porosus	D	Aphos porosus	1	1	66207	BOLD:AAJ8599	Chordata	Batrachoidiformes	Batrachoididae	Aphos
Actinopterygii	Aplochiton taeniatus	F		0	0	509565		Chordata	Osmeriformes	Galaxiidae	Aplochiton
Actinopterygii	Aplochiton zebra	F		0	0	509566		Chordata	Osmeriformes	Galaxiidae	Aplochiton
Actinopterygii	Aplodactylus punctatus	B	Aplodactylus punctatus	5	1	124059	BOLD:AAE3432	Chordata	Perciformes	Aplodactylidae	Aplodactylus
Actinopterygii	Apogon atradorsatus	F		0	0	681218		Chordata	Perciformes	Apogonidae	Apogon
Actinopterygii	Apogon dovii	D	Apogon dovii	1	1	14373	BOLD:AAD9578	Chordata	Perciformes	Apogonidae	Apogon
Actinopterygii	Apogon guadalupensis	F		0	0	716928		Chordata	Perciformes	Apogonidae	Apogon
Actinopterygii	Apogon pacificus	D		5	2	503711		Chordata	Perciformes	Apogonidae	Apogon
Actinopterygii	Apogon retrosella	D		4	2	716930		Chordata	Perciformes	Apogonidae	Apogon
Actinopterygii	Arctozenus risso	E**	Lestidiops ringens,Arctozenus risso,Paralepis elongata	40	7	59407	BOLD:AAA8781,BOLD:AAA8783,BOLD:AAA8780,BOLD:AAA8784	Chordata	Aulopiformes	Paralepididae	Arctozenus
Actinopterygii	Argentina aliceae	B	Argentina aliceae	6	1	722974	BOLD:ABY0410	Chordata	Argentiniformes	Argentinidae	Argentina
Actinopterygii	Argentina sialis	D	Argentina sialis	2	1	71904	BOLD:AAJ1673	Chordata	Argentiniformes	Argentinidae	Argentina
Actinopterygii	Argyropelecus aculeatus	C	Argyropelecus aculeatus	19	8	59408	BOLD:AAB6595,BOLD:AAB6598,BOLD:AAB6597	Chordata	Stomiiformes	Sternoptychidae	Argyropelecus
Actinopterygii	Argyropelecus affinis	D	Argyropelecus sladeni,Argyropelecus affinis	2	2	125542	BOLD:AAJ8128,BOLD:AAT9410	Chordata	Stomiiformes	Sternoptychidae	Argyropelecus
Actinopterygii	Argyropelecus gigas	C	Argyropelecus gigas	17	6	53079	BOLD:AAC0977,BOLD:ADI8948	Chordata	Stomiiformes	Sternoptychidae	Argyropelecus
Actinopterygii	Argyropelecus hemigymnus	E**	Argyropelecus hemigymnus,Argyropelecus aculeatus	20	7	59409	BOLD:AAC6584,BOLD:AAL5810,BOLD:AAC6585,BOLD:AAB6595	Chordata	Stomiiformes	Sternoptychidae	Argyropelecus
Actinopterygii	Argyropelecus lychnus	F		0	0	89103		Chordata	Stomiiformes	Sternoptychidae	Argyropelecus
Actinopterygii	Argyropelecus olfersii	D	Argyropelecus olfersii	3	1	59410	BOLD:AAD9107	Chordata	Stomiiformes	Sternoptychidae	Argyropelecus
Actinopterygii	Argyropelecus sladeni	D	Argyropelecus sladeni,Argyropelecus affinis	2	2	125543	BOLD:AAJ8128,BOLD:ABZ0320	Chordata	Stomiiformes	Sternoptychidae	Argyropelecus
Actinopterygii	Ariopsis seemanni	D		8	3	779566		Chordata	Siluriformes	Ariidae	Ariopsis
Actinopterygii	Ariosoma gilberti	D	Ariosoma gilberti	1	1	399258	BOLD:ABW4528	Chordata	Anguilliformes	Congridae	Ariosoma
Actinopterygii	Ariosoma prorigerum	B	Ariosoma prorigerum	8	1	722997	BOLD:ABY0155	Chordata	Anguilliformes	Congridae	Ariosoma
Actinopterygii	Arothron hispidus	A	Arothron hispidus	26	15	10982	BOLD:AAB9202	Chordata	Tetraodontiformes	Tetraodontidae	Arothron
Actinopterygii	Arothron meleagris	E*	Arothron nigropunctatus,Arothron meleagris	8	4	10981	BOLD:AAB5886	Chordata	Tetraodontiformes	Tetraodontidae	Arothron
Actinopterygii	Astronesthes boulengeri	C	Astronesthes boulengeri	9	2	251602	BOLD:AAE6545,BOLD:ADM8151	Chordata	Stomiiformes	Stomiidae	Astronesthes
Actinopterygii	Atherinella chagresi	C	Atherinella chagresi	7	1	97667	BOLD:AAD3575,BOLD:AAD3577,BOLD:AAD3576	Chordata	Atheriniformes	Atherinopsidae	Atherinella
Actinopterygii	Atherinomorus stipes	C	Atherinomorus stipes	39	6	23555	BOLD:AAB0751,BOLD:AAA6813,BOLD:ABV4989	Chordata	Atheriniformes	Atherinidae	Atherinomorus
Actinopterygii	Aulostomus chinensis	A	Aulostomus chinensis	26	11	10429	BOLD:AAB9194	Chordata	Syngnathiformes	Aulostomidae	Aulostomus
Actinopterygii	Austrolycus laticinctus	B	Austrolycus laticinctus	4	1	54157	BOLD:AAE4703	Chordata	Perciformes	Zoarcidae	Austrolycus
Actinopterygii	Auxis thazard	E**	Auxis rochei,Auxis thazard,Katsuwonus pelamis,Sarda orientalis	79	13	15044	BOLD:AAB4580,BOLD:AAA5421,BOLD:AAB0928	Chordata	Perciformes	Scombridae	Auxis
Actinopterygii	Avocettina bowersii	D	Avocettina bowersii	3	1	722998	BOLD:ABX9150	Chordata	Anguilliformes	Nemichthyidae	Avocettina
Actinopterygii	Awaous banana	C	Awaous banana	19	2	97746	BOLD:AAB8679,BOLD:AAB8678,BOLD:AAB8680	Chordata	Perciformes	Gobiidae	Awaous
Actinopterygii	Axoclinus lucillae	F		0	0	374793		Chordata	Perciformes	Tripterygiidae	Axoclinus
