valid_name,region,subgroup,group
Abyssoninoe abyssorum,Chile,Annelida,Invertebrates
Aglaophamus foliosus,Chile,Annelida,Invertebrates
Aglaophamus macroura,Chile,Annelida,Invertebrates
Aglaophamus peruana,Chile,Annelida,Invertebrates
Aglaophamus posterobranchus,Chile,Annelida,Invertebrates
Aglaophamus trissophyllus,Chile,Annelida,Invertebrates
Alciopina paumotanus,Chile,Annelida,Invertebrates
Alomasoma belyaevi,Chile,Annelida,Invertebrates
Alomasoma chaetiferum,Chile,Annelida,Invertebrates
Ampharete elongata,Chile,Annelida,Invertebrates
Amphitrite kerguelensis,Chile,Annelida,Invertebrates
Amphitrite marchilensis,Chile,Annelida,Invertebrates
Amphitritides pectinobranchiata,Chile,Annelida,Invertebrates
Anchinothria pycnobranchiata,Chile,Annelida,Invertebrates
Ancistrosyllis groenlandica,Chile,Annelida,Invertebrates
Anguillosyllis palpata,Chile,Annelida,Invertebrates
Anobothrus antarctica,Chile,Annelida,Invertebrates
Anobothrus glandularis,Chile,Annelida,Invertebrates
Anoplosyllis sexoculata,Chile,Annelida,Invertebrates
Antonbruunia gerdesi,Chile,Annelida,Invertebrates
Aphelochaeta marioni,Chile,Annelida,Invertebrates
Aphelochaeta monilaris,Chile,Annelida,Invertebrates
Aphelochaeta multifilis,Chile,Annelida,Invertebrates
Aphrodita bisetosa,Chile,Annelida,Invertebrates
Aphrodita magellanica,Chile,Annelida,Invertebrates
Arabella protomutans,Chile,Annelida,Invertebrates
Archinome rosacea,Chile,Annelida,Invertebrates
Aricidea pigmentata,Chile,Annelida,Invertebrates
Aricidea uschakowi,Chile,Annelida,Invertebrates
Artacama valparaisiensis,Chile,Annelida,Invertebrates
Asychis amphiglyptus,Chile,Annelida,Invertebrates
Augeneria tentaculata,Chile,Annelida,Invertebrates
Australonuphis violacea,Chile,Annelida,Invertebrates
Austrobdella coliumicus,Chile,Annelida,Invertebrates
Austrolaenilla antarctica,Chile,Annelida,Invertebrates
Austrolaenilla hastulifera,Chile,Annelida,Invertebrates
Autolytus simplex,Chile,Annelida,Invertebrates
Boccardia polybranchia,Chile,Annelida,Invertebrates
Boccardia tricuspa,Chile,Annelida,Invertebrates
Branchamphinome antarctica,Chile,Annelida,Invertebrates
Branchipolynoe symmytilida,Chile,Annelida,Invertebrates
Califia chilensis,Chile,Annelida,Invertebrates
Capitella capitata,Chile,Annelida,Invertebrates
Carazziella carrascoi,Chile,Annelida,Invertebrates
Caulleriella alata,Chile,Annelida,Invertebrates
Ceratocephale loveni,Chile,Annelida,Invertebrates
Chaetopterus variopedatus,Chile,Annelida,Invertebrates
Chaetozone setosa,Chile,Annelida,Invertebrates
Cirratulus cirratus,Chile,Annelida,Invertebrates
Cirratulus patagonicus,Chile,Annelida,Invertebrates
Cirrophorus longifurcatus,Chile,Annelida,Invertebrates
Cistenides ehlersi,Chile,Annelida,Invertebrates
Cossura abyssalis,Chile,Annelida,Invertebrates
Cossura alba,Chile,Annelida,Invertebrates
Cossura chilensis,Chile,Annelida,Invertebrates
Dipolydora armata,Chile,Annelida,Invertebrates
Dipolydora giardi,Chile,Annelida,Invertebrates
Dipolydora huelma,Chile,Annelida,Invertebrates
Dipolydora magellanica,Chile,Annelida,Invertebrates
Dipolydora socialis,Chile,Annelida,Invertebrates
Drieschia nans,Chile,Annelida,Invertebrates
Drilonereis viborita,Chile,Annelida,Invertebrates
Eranno bifrons,Chile,Annelida,Invertebrates
Erinaceusyllis carrascoi,Chile,Annelida,Invertebrates
Erinaceusyllis subterranea,Chile,Annelida,Invertebrates
Eteone sculpta,Chile,Annelida,Invertebrates
Eulagisca gigantea,Chile,Annelida,Invertebrates
Eunereis patagonica,Chile,Annelida,Invertebrates
Eunice frauenfeldi,Chile,Annelida,Invertebrates
Eunice pennata,Chile,Annelida,Invertebrates
Euphrosine armadilloides,Chile,Annelida,Invertebrates
Euphrosine notialis,Chile,Annelida,Invertebrates
Euphrosinella cirratoformis,Chile,Annelida,Invertebrates
Euphrosinopsis antarctica,Chile,Annelida,Invertebrates
Eusyllis nuchalata,Chile,Annelida,Invertebrates
Exogone heterosetosa,Chile,Annelida,Invertebrates
Exogone homosetosa,Chile,Annelida,Invertebrates
Exogone yagan,Chile,Annelida,Invertebrates
Fauveliopsis challengeriae,Chile,Annelida,Invertebrates
Flabelligella papillata,Chile,Annelida,Invertebrates
Flabelligera induta,Chile,Annelida,Invertebrates
Flota flabelligera,Chile,Annelida,Invertebrates
Genetyllis polyphylla,Chile,Annelida,Invertebrates
Glycera americana,Chile,Annelida,Invertebrates
Glycera capitata,Chile,Annelida,Invertebrates
Glycinde armata,Chile,Annelida,Invertebrates
Goniada uncinigera,Chile,Annelida,Invertebrates
Grania hinojosai,Chile,Annelida,Invertebrates
Gymnonereis fauveli,Chile,Annelida,Invertebrates
Halosydna patagonica,Chile,Annelida,Invertebrates
Harmothoe campoglacialis,Chile,Annelida,Invertebrates
Harmothoe ciliata,Chile,Annelida,Invertebrates
Harmothoe commensalis,Chile,Annelida,Invertebrates
Harmothoe exanthema,Chile,Annelida,Invertebrates
Harmothoe magellanica,Chile,Annelida,Invertebrates
Harmothoe spinosa,Chile,Annelida,Invertebrates
Hemipodia simplex,Chile,Annelida,Invertebrates
Hermadion magalhaensi,Chile,Annelida,Invertebrates
Hyalinoecia araucana,Chile,Annelida,Invertebrates
Hyalinoecia artifex,Chile,Annelida,Invertebrates
Hyalinoecia tubicola,Chile,Annelida,Invertebrates
Hyalopomatus nigropileatus,Chile,Annelida,Invertebrates
Hydroides chilensis,Chile,Annelida,Invertebrates
Isolda viridis,Chile,Annelida,Invertebrates
Kinbergonuphis notialis,Chile,Annelida,Invertebrates
Kirkegaardia antonbruunae,Chile,Annelida,Invertebrates
Kirkegaardia chilensis,Chile,Annelida,Invertebrates
Krohnia lepidota,Chile,Annelida,Invertebrates
Laetmonice producta,Chile,Annelida,Invertebrates
Lamispina chilensis,Chile,Annelida,Invertebrates
Laonice cirrata,Chile,Annelida,Invertebrates
Laonice weddellia,Chile,Annelida,Invertebrates
Laubieriopsis brevis,Chile,Annelida,Invertebrates
Laubierpholoe antipoda,Chile,Annelida,Invertebrates
Leanira quatrefagesi,Chile,Annelida,Invertebrates
Leitoscoloplos chilensis,Chile,Annelida,Invertebrates
Leitoscoloplos kerguelensis,Chile,Annelida,Invertebrates
Leitoscoloplos pugettensis,Chile,Annelida,Invertebrates
Leodamas marginatus,Chile,Annelida,Invertebrates
Leodice antennata,Chile,Annelida,Invertebrates
Lepidasthenia gigas,Chile,Annelida,Invertebrates
Lepidonotus furcillatus,Chile,Annelida,Invertebrates
Levinsenia gracilis,Chile,Annelida,Invertebrates
Levinsenia oculata,Chile,Annelida,Invertebrates
Linopherus annulata,Chile,Annelida,Invertebrates
Lopadorrhynchus brevis,Chile,Annelida,Invertebrates
Lumbrineris bifilaris,Chile,Annelida,Invertebrates
Lumbrineris chilensis,Chile,Annelida,Invertebrates
Lumbrineris cingulata,Chile,Annelida,Invertebrates
Lumbrineris kerguelensis,Chile,Annelida,Invertebrates
Lumbrineris magalhaensis,Chile,Annelida,Invertebrates
Lumbrineris tetraura,Chile,Annelida,Invertebrates
Lysilla laeviseta,Chile,Annelida,Invertebrates
Macellicephala nationalis,Chile,Annelida,Invertebrates
Magelona phyllisae,Chile,Annelida,Invertebrates
Maldane sarsi,Chile,Annelida,Invertebrates
Maupasia coeca,Chile,Annelida,Invertebrates
Mediomastus branchiferus,Chile,Annelida,Invertebrates
Melinna cristata,Chile,Annelida,Invertebrates
Naiades cantrainii,Chile,Annelida,Invertebrates
Neanthes kerguelensis,Chile,Annelida,Invertebrates
Neoleanira magellanica,Chile,Annelida,Invertebrates
Neoleprea streptochaeta,Chile,Annelida,Invertebrates
Neopolynoe antarctica,Chile,Annelida,Invertebrates
Nephtys ferruginea,Chile,Annelida,Invertebrates
Nephtys imbricata,Chile,Annelida,Invertebrates
Nephtys paradoxa,Chile,Annelida,Invertebrates
Nereis dorsolobata,Chile,Annelida,Invertebrates
Nereis pelagica,Chile,Annelida,Invertebrates
Nicolea chilensis,Chile,Annelida,Invertebrates
Nicolea lobulata,Chile,Annelida,Invertebrates
Nicon maculata,Chile,Annelida,Invertebrates
Ninoe falklandica,Chile,Annelida,Invertebrates
Ninoe leptognatha,Chile,Annelida,Invertebrates
Notaulax phaeotaenia,Chile,Annelida,Invertebrates
Nothria anoculata,Chile,Annelida,Invertebrates
Nothria conchylega,Chile,Annelida,Invertebrates
Notocirrus lorum,Chile,Annelida,Invertebrates
Notomastus chilensis,Chile,Annelida,Invertebrates
Notomastus latericeus,Chile,Annelida,Invertebrates
Odontosyllis magnanuchalata,Chile,Annelida,Invertebrates
Onuphis holobranchiata,Chile,Annelida,Invertebrates
Onuphis iridescens,Chile,Annelida,Invertebrates
Onuphis pseudoiridescens,Chile,Annelida,Invertebrates
